Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Staffia aenigmatica,,,,,,"New records of Staffia aenigmatica (Mammalia, Allotheria, Haramiyida)
from the Upper Jurassic of Tendaguru in southeastern Tanzania, East Africa
Wolf-Dieter Heinrich. 2001. ","no definitive m1. The type specimen of S(affiia aenigmatica was
originally compared with presumed premolars of
Tliomasin (tooth groop 11: Sigogneau-Russell
Mitt. Mus. Nat.kd. Bed. Geowiss. Reihe 4 (2001) 249
1989) and provisionally regarded as a lower posterior premolar (Heinrich 1999a). More recently,
Butler (2000) compared the cheek teeth of the
Thomasia tooth groop I1 (Sigogneau-Russell
1989) with the lower anterior molar (ml), suggesting that the type specimen of Staffia aenigmatica might represent a ml.",,,
Stylidens hookeri,,,,,,P. M. Butler and D. Sigogneau-Russel. 2016. Diversity of triconodonts in the Middle Jurassic of Great Britain. Palaeontologia Polonica 67:35-65,"NHM M84127, a tooth (right lower molar)",,,
Tashkumyrodon desideratus,,,,,,,unidentified left lower molar,,,
Tathiodon agilis,,,,,,,"The dentary
fragment, holotype of T. agilis, bears two molariform teeth,
likely dp4 and m1. The upper dentition is known from a
maxillary fragment with three molars (holotype of C. richi)
and isolated upper molar (AMNH collection)",,,
Tegotherium gubini,,,,,,,cant find the specimen,,,
Tendagurodon janenschi,,,,,,"W. -D. Heinrich. 1998. Late Jurassic mammals from Tendaguru, Tanzania. Journal of Mammalian Evolution 5(4):269-290","cheek tooth, tentatively identified as a right
lower molar",,,
Tendagurutherium dietrichi,,,,,,"W. -D. Heinrich. 1998. Late Jurassic mammals from Tendaguru, Tanzania. Journal of Mammalian Evolution 5(4):269-290","Dentary fragment with unknown molar. MB.Ma.46910, a maxilla (fragment of a right dentary with the last molar",,,
Triconolestes curvicuspis,,,,,,G. F. Engelmann and G. Callison. 1998. Mammalian faunas of the Morrison Formation. Modern Geology 23(1-4):343-379,"DINO 10780, a tooth (partial lower molar)",,,
Trioracodon bisulcus,,,,,,,cant find specimen,,,
Trishulotherium kotaensis,,,,,,"P. Yadagiri. 1984. New smmetrodonts from Kota Formation (Early Jurassic), India. Journal of the Geological Society of India 25(8):514-521","GSI Type No. SR/PAL/10, a tooth (worn molar)",,,
Victoriaconodon inaequalis,1.070866142,0.472440945,1,1,Y IMAGE,"Marisol Montellano , James A. Hopson & James M. Clark (2008) Late Early
Jurassic mammaliaforms from Huizachal Canyon, Tamaulipas, México, Journal of Vertebrate
Paleontology, 28:4, 1130-1143, DOI: 10.1671/0272-4634-28.4.1130",,,,
Volaticotherium antiquus,,,,,,"J. Meng, Y. Hu, Y. Wang, X. Wang, and C. Li. 2006. A Mesozoic gliding mammal from northeastern China. Nature 444:889-893",flat on slab. No width possible. Length would likely be possible,,,
Wareolestes rex,,,,,,,no measurable m1,,,
Xenachoffatia oinopion,,,,,,"G. Hahn and R. Hahn. 1998. Neue Beobachtungen an Plagiaulacoidea (Multituberculata) des Ober-Juras. 3. Der Bau der Molaren bei den Paulchoffatiidae. Berliner Geowissenschaftliche Abhandlungen, Reihe E 28:39-84",Cant find paper,,,
Zofiabaatar pulcher,,,,,,"R. T. Bakker and K. Carpenter. 1990. A new latest Jurassic vertebrate fauna, from the highest levels of the Morrison Formation at Como Bluff, Wyoming, with comments on Morrison biochronology. Part III. The mammals: a new multituberculate and a new paurodont. Hunteria 2(6):4-8",cant find paper,,,
Acinacodus tagaricus,1.7,0.9,,,,"A New Genus of Triconodont Mammals from the Early Cretaceous of Western Siberia A. V. Lopatin, E. N. Maschenko, and A. O. Averianov 2019","PIN, no. 4463/5, right dentary fragment
with C1, P2–P3, ?2–?4, and alveoli and roots of I1–I4",,,
Acristatherium yanensis,1.3,,,,,"New basal eutherian mammal from the Early Cretaceous Jehol biota, Liaoning, China
Yaoming Hu, Jin Meng, Chuankui Li and Yuanqing Wang 2009","no width, on slab",,,
Adelodelphys muizoni,,,,,,,upper teeth and unknown mx lower teeth,,,
Adinodon pattersoni,,,,,,"P. Hershkovitz. 1995. The staggered marsupial third lower incisor: hallmark of cohort Didelphimorphia, and description of a new genus and species with staggeres i3 from the Albian (Lower Cretacious) of Texas. Bonner zoologische Beitrage 45(3-4):153-169",cant find paper,,,
Aegialodon dawsoni,,,,,,,unknown lower molariformes,,,
Aenigmadelphys archeri,,,,,,"New marsupial from the Upper Cretaceous of Utah. RL Cifelli, Z Johanson - Journal of Vertebrate Paleontology, 1994",upper teeth only,,,
Afriquiamus nessovi,,,,,,"Sigogneau-Russell D. 1999. — Réévaluation des Peramura (Mammalia, Cladotheria) sur la
base de nouveaux spécimens du Crétacé inférieur d'Angleterre et du Maroc. Geodiversitas
21 (1) : 93-127. ","SA 84, molaire supérieure gauche. ",,,
Akidolestes cifelli,,,,,,G. Li and Z.-X. Luo. 2006. A Cretaceous symmetrodont therian with some monotreme-like postcranial features. Nature 439:195-200,couldn't get a reliable measurement from sketches. Possibly from real fossil. ,,,
Albertatherium primus,,,,,,,no m1,,,
Albertatherium secundus,,,,,,," UALVP 29534, a tooth (M3).",,,
Albionbaatar denisae,,,,,,,"DORCM GS 212 (sample 40), a maxilla (right P5 in a fragment of maxilla).",,,
Aletridelphys florencae,,,,,,,no m1,,,
Aletridelphys hatcheri,,,,,,"G. P. Wilson, M. Dechesne, and I. R. Anderson. 2010. New latest Cretaceous mammals from northeastern Colorado with biochronologic and biogeographic implications. Journal of Vertebrate Paleontology 30(2):499-520","right maxilar with m3. Belongs to Protolambda according to G. P. Wilson et al. 2010, Alternative combinations: Aletridelphys hatcheri, Pediomys hatcheri. Synonyms: Synconodon sexcuspis Osborn 1898, Synconodon sexicuspis Osborn 1898",,,
Allacodon lentus,,,,,,,junior synonym of Cimolomys gracilis,,,
Alticonodon lindoei,,,,,,,no m1,,,
Alymlestes kielanae,2.4,2.1,1,1,,"A new Cretaceous mammal from the Campanian of Kazakhstan. A Averianov, L Nessov 1995","Holotype ZIN 78332, left M/l (lower m1)",,,
Ambilestes cerberoides,,,,,,,no m1 for recombined species specimens,,,
Amblotherium nanum,,,,,,R. Owen. 1871. Monograph of the fossil Mammalia of the Mesozoic formations. 24(110):vi-115,cant find paper,,,
Amblotherium pusillum,,,,,,,multiple left mandibles. Possible m1s. Cant find the specimens,,,
Amblotherium soricinum,,,,,,R. Owen. 1871. Monograph of the fossil Mammalia of the Mesozoic formations. 24(110):vi-115,cant find paper,,,
Ambolestes zhoui,1.537037037,0.888888889,1,1,Y IMAGE,"S. Bi, X. Zheng, X. Wang, N. E. Cignetti, S. Yang and J. R. Wible. 2018. An Early Cretaceous eutherian and the placental–marsupial dichotomy. Nature 558:390-395",m1 could be measured from recon,,,
Ameribaatar zofiae,,,,,,"Eaton, J.G. & Cifelli, R.L. 2001. Multituberculate mammals from near the Early-Late
Cretaceous boundary, Cedar Mountain Formation, Utah. - Acta Palaeontologica Polonica 46,4,453-5 18",partial m1,,,
Anebodon luoi,2.275,1.285,2,2,,"Shundong Bi, Xiaoting Zheng, Jin Meng, Xiaoli Wang, Nicole Robinson & Brian Davis 2016. A new symmetrodont mammal (Trechnotheria: Zhangheotheriidae) from the Early Cretaceous of China and trechnotherian character evolution",sample number (2) is left and right of same specimen,,,
Apistodon exiguus,,,,,,,"UALVP 5536, a tooth (RM1).",,,
Aquiladelphis incus,,,,,,,OMNH 66351 is M3,,,
Aquiladelphis laurae,,,,,,,no m1,,,
Arcantiodelphys marchandi,1.3,1.15,,,,"The oldest modern therian mammal from Europe and its bearing on stem marsupial paleobiogeography Romain Vullo, Emmanuel Gheerbrant, Christian de Muizon, and Didier Ne´raudeau",possibly m1 MNHN CCH1,Y,,
Argaliatherium robustum,,,,,,,"OMNH 61153, broken LMx",,,
Argentodites coloniensis,,,,,,"Kielan?Jaworowska, Z., Ortiz?Jaureguizar, E., Vieytes, C., Pascual, R., and Goin, F.J. 2007. First ?cimolodontan multi?
tuberculate mammal from South America. Acta Palaeontologica Polonica 52 (2): 257–262.",left p4,,,
Argillomys marylandensis,,,,,,"New multituberculate mammal from the Early Cretaceous of eastern North America Richard L. Cifelli, Cynthia L. Gordon, and Thomas R. Lipka",left upper m2,,,
Arginbaatar dimitrievae,1.462,0.924,5,5,,"KIELAN-JAWOROWSKA, Z., DASHZEVEG, D. and TROFIMOV, B. A.: Early
Cretaceous multituberculates from Mongolia and a comparison with Late Jurassic
forms. Acta Palaeont. Polonica, 38, 1-2, 3-47, 19&7.",,,,
Arguimus khosbajari,0.918918919,0.5,1,1,Y IMAGE,"DASHZEVEG, D. 1979. Arguimus khosbajari gen.n., sp.n. (?Peramuridae,
Eupantotheria) from the Lower Cretaceous of Mongolia. Acta Palaeont.
Polonica 24, 2, 199-204, June 1979.",measured from ,,,
Asiatherium reshetovi,1.575,0.913,,,,,,,,
Asioryctes nemegtensis,,,,,,,fused skull and jaw.,,,
Aspanlestes aptap,,,,,,,no m1,,,
Astroconodon delicatus,,,,,,,unknown molars,,,
Atlasodon monbaroni,,,,,,,right upper molar,,,
Atokatheridium boreni,,,,,,,no m1,,,
Ausktribosphenos nyktos,1.6,1.7,,,,"Thomas H. Rich, Patricia Vickers-Rich, Andrew Constantine,
Timothy F. Flannery, Lesley Kool, Nicholas van Klaveren 1997. A Tribosphenic Mammal from the
Mesozoic of Australia",original paper names it Aukstribosphenos nyktos,,,
Austrotriconodon mckennai,,,,,,,"no definitive m1. See A revision of the putative Late Cretaceous triconodonts from South
America 2013 L.C. Gaetano, C.A. Marsicano, G.W. Rougier for taxonomic opinions",,,
Austrotriconodon sepulvedai,,,,,,,"upper and lower P1s. See A revision of the putative Late Cretaceous triconodonts from South
America 2013 L.C. Gaetano, C.A. Marsicano, G.W. Rougier for taxonomic opinions",,,
Avashishta bacharamensis,,,,,,"S. Anantharaman , G. P. Wilson , D. C. Das Sarma & W. A. Clemens (2006)
A possible Late Cretaceous “Haramiyidan” from India, Journal of Vertebrate Paleontology, 26:2,
488-490, DOI: 10.1671/0272-4634(2006)26[488:APLCHF]2.0.CO;2",upper right molariform,,,
Baidabatyr clivosus,,,,,,,only P5,,,
Barbatodon oardaensis,2.09,1.38,6,6,,"V. A. Codrea, A. A. Solomon, M. Venczel and T. Smith. 2014. A new kogaionid multituberculate mammal from the Maastrichtian of the Transylvanian Basin, Romania. Comptes Rendus Palevol 13(6):489-499",,,,
Barbatodon transylvanicus,3.056,2.251,,,,,,,,
Barberenia allenensis,,,,,,,right upper molariform,,,
Barberenia araujoae,,,,,,,"cant see m1. MACN-RN 166, a tooth (left upper molar). See A new phylogeny for basal Trechnotheria and Cladotheria
and affinities of South American endemic Late Cretaceous
mammals
Alexander O. Averianov & Thomas Martin &
Alexey V. Lopatin for reassigned holotype",,,
Barunlestes butleri,,,,,,Z. Kielan-Jaworowska. 1975. Preliminary description of two new eutherian genera from the Late Cretaceous of Mongolia. Palaeontologia Polonica 33:5-15,m1 present but not measurable from images. Check PhD immages,,,
Bharattherium bonapartei,,,,,,,unknown molariformes,,,
Bishops whitmorei,1.45,1.2,2,2,,"Rich et al, 2020. A Third, Remarkably Small, Tribosphenic Mammal from the Mesozoic of Australia","NMV P210075, holotype, a left mandible
originally with a single alveolus anterior to
the premolars, p1–6, m1–3. p1 subsequently
lost. Figures 3.9–3.10.
NMV P208484, a right mandibular fragment with m2 and alveolus for m3. Figure
3.11.
NMV P209975, a right mandibular fragment with heavily worn posterior root of p6,
m1–2, and worn m3. Figure 3.12.
NMV P210070, a right mandible with p1–
6, m1–3. P6–m3 damaged.  measured NMV
P210075
Bishops
whitmorei
holotype and Bishops
whitmorei
NMV
P210070",,,
Bistius bondi,,,,,,"New Late Cretaceous, North American advanced therian mammals that fit neither the marsupial nor eutherian molds 1986. William A. Clemens, Jason A. Lillegraven",upper molars,,,
Bobolestes zenge,0.8,1.1,1,1,,"Alexander Averianov, J. David Archibald. 2004. Mammals from the mid-Cretaceous Khodzhakul Formation,
Kyzylkum Desert, Uzbekistan",,,,
Bolodon crassidens,,,,,,,"Bolodon crassidens Owen, fragment of maxilla with SF, buccal view, Is preserved in this specimen is not figured, holotype BM 47735.",,,
Bolodon elongatus,,,,,,G. G. Simpson. 1928. A Catalogue of the Mesozoic Mammalia in the Geological Department of the British Museum 1-215,,,,
Bolodon falconeri,,,,,,,"Alternative combinations: Ctenacodon falconeri, Plagiaulax falconeri. Cant find the specimen",,,
Bolodon hydei,,,,,,,no m1,,,
Bolodon minor,,,,,,,cant find specimen,,,
Bolodon osborni,,,,,,,No m1?,,,
Bondesius ferox,,,,,,,"MACN-RN 161, a tooth (complete crown of a right lower molar)",,,
Borisodon kara,2.339285714,1.571428571,1,1,Y IMAGE,"J. DAVID ARCHIBALD and ALEXANDER AVERIANOV. 2010. Phylogenetic analysis, taxonomic revision, and dental
ontogeny of the Cretaceous Zhelestidae
(Mammalia: Eutheria)",,,,
Brandonia intermedia,,,,,,,upper teeth,,,
Brasilestes stardusti,,,,,,,one right premolar,,,
Buginbaatar transaltaiensis,,,,,,ZOFIA KIELAN-JAWOROWSKA et al. THE FIRST MULTITUBERCULATE FROM THE UPPERMOST CRETACEOUS OF THE GOBI DESERT (MONGOLIA),upper teeth,,,
Bulaklestes kezbe,1.57,1.1,3,3,,"Archibald, J.D. and Averianov, A.O. 2006. Late Cretaceous asioryctitherian eutherian mammals from Uzbekistan and
phylogenetic analysis of Asioryctitheria. Acta Palaeontologica Polonica 51 (2): 351–376.",,,,
Bulganbaatar nemegtbaataroides,,,,,,Z. Kielan-Jaworowska. 1974. Multituberculate succession in the Late Cretaceous of the Gobi Desert (Mongolia). Palaeontologia Polonica 30:23-44,no m1,,,
Camptomus amplus,,,,,,,no m1. possibly a scapular?,,,
Cantalera abadi,,,,,,,no lower teeth,,,
Carinalestes murensis,,,,,,,"The holotype of Carinalestes murensis preserves
the last molar (AP D 2.39, ANW D 1.58, POW D 1.11)",,,
Casamiquelia rionegrina,,,,,,,upper right molar,,,
Catocapes angolanus,,,,,,,ichnofossil,,,
Catopsbaatar catopsaloides,6.1,3.8,1,1,,Z. Kielan-Jaworowska. 1974. Multituberculate succession in the Late Cretaceous of the Gobi Desert (Mongolia). Palaeontologia Polonica 30:23-44,was reported as Djadochtatherium catopsaloides. MgM-I /78 ,,,
Cedaromys minimus,,,,,,"J. G. Eaton. 2009. Cenomanian (Late Cretaceous) mammals from Cedar Canyon, southwestern Utah, and a revision of Cenomanian Alphadon-like marsupials. Museum of Northern Arizona Bulletin 65:97-110","UMNH VP 12836, a tooth (LM1). Cant find paper. In a book",,,
Chaoyangodens lii,2.3,,,,,"A new eutriconodont mammal from the early Cretaceous Jehol Biota of Liaoning, China Shilin Hou,  Jin Meng",only able to measure length,,,
Chulsanbaatar vulgaris,1.766666667,0.866666667,3,3,,Z. Kielan-Jaworowska. 1974. Multituberculate succession in the Late Cretaceous of the Gobi Desert (Mongolia). Palaeontologia Polonica 30:23-44,,,,
Chunnelodon alopekodes,,,,,,,unknown lower molars,,,
Cimexomys gregoryi,,,,,,,Cant find paper,,,
Cimolestes stirtoni,,,,,,"Fox, Richard C.; Sues, Hans-Dieter (2015). A revision of the Late Cretaceous–Paleocene eutherian mammal <i>Cimolestes</i> Marsh, 1889. Canadian Journal of Earth Sciences, (), 1–13. doi:10.1139/cjes-2015-0113","UCMP 48591, left upper molar, probably M2.",,,
Cimolodon akersteni,,,,,,"Lucas N. Weaver, Gregory P. Wilson, L. J. Krumenacker, Kayla Mclaughlin,
Jason R. Moore & David J. Varricchio (2019) New multituberculate mammals from the midCretaceous (lower Cenomanian) Wayan Formation of southeastern Idaho and implications for
the early evolution of Cimolodonta, Journal of Vertebrate Paleontology, 39:2, e1604532, DOI:
10.1080/02724634.2019.1604532","IMNH 50879, right p4",,,
Cimolodon peregrinus,,,,,,"Shelly L. Donohue , Gregory P. Wilson & Brent H. Breithaupt (2013)
Latest Cretaceous multituberculates of the Black Butte Station local fauna (Lance Formation,
southwestern Wyoming), with implications for compositional differences among mammalian
local faunas of the Western Interior, Journal of Vertebrate Paleontology, 33:3, 677-695, DOI:
10.1080/02724634.2013.745416","UW 15583, right dentary fragment with p4",,,
Cimolodon wardi,2.53,1.53,1,1,,"J. G. Eaton. 2006. Late Cretaceous mammals from Cedar Canyon, southwestern Utah. Late Cretaceous Vertebrates from the Western Interior. New Mexico Museum of Natural History and Science Bulletin 35:373-402",UMNH VP 6911,,,
Cimolomys milliensis,,,,,,"J. G. Eaton. 1993. Mammalian paleontology and correlation of uppermost Cretaceous rocks of the Paunsaugunt Plateau, Utah. Aspects of Mesozoic Geology and Paleontology of the Colorado Plateau. Museum of Northern Arizona Bulletin 59:163-180",cant find paper,,,
Cimolomys parvus,,,,,,,"m1 from YPM 11777, but not found",,,
Cimolomys trochuus,,,,,,,no m1,,,
Clemensodon megaloba,,,,,,"KRAUSE, D.W. Clemensodon megaloba, A new genus and species of Multituberculata (Mammalia) from the Upper Cretaceous Type Lance Formation, Powder River Basin, Wyoming.",p4,,,
Coloniatherium cilinskii,,,,,,,2 x m1 specimen. MPEF-PV 2064 and MPEF-PV 2011. no measurements reported. No immages. ,,,
Corriebaatar marywaltersae,,,,,,,no m1,,,
Corviconodon montanensis,,,,,,,Very poor possible m1. No measurement avaliable,,,
Corviconodon utahensis,,,,,,,unknown molars,,,
Cretasorex arkhangelskyi,,,,,,,no teeth,,,
Cronopio dentiacutus,,,,,,,dammaged molars,,,
Crusafontia amoae,,,,,,,upper molars,,,
Crusafontia cuencana,0.697211155,0.605577689,1,1,Y IMAGE,,measured from paper with image and scale bar,,,
Ctenacodon minor,,,,,,,cant find,,,
Culicolestes kielanae,,,,,,,no m1,,,
Dakotadens pertritus,2.54,1.22,1,1,,"Cifelli, R.L., Cohen, J.E., and Davis, B.M. 2016. New tribosphenic mammals from
the Mussentuchit Local Fauna (Cedar Mountain Formation, Cenomanian), Utah, USA.
Palaeontologia Polonica 67, 67–81. LSID urn:lsid:zoobank.org:pub:C7A0F8DD-F04A467C-8E45-3BFABDEEC6F5",,,,
Dakshina jederi,,,,,,,no m1,,,
Daulestes inobservabilis,1.34,0.94,1,1,,"Archibald, J.D. and Averianov, A.O. 2006. Late Cretaceous asioryctitherian eutherian mammals from Uzbekistan and
phylogenetic analysis of Asioryctitheria. Acta Palaeontologica Polonica 51 (2): 351–376.",,,,
Daulestes kulbeckensis,1.235,0.905,2,2,,"Archibald, J.D. and Averianov, A.O. 2006. Late Cretaceous asioryctitherian eutherian mammals from Uzbekistan and
phylogenetic analysis of Asioryctitheria. Acta Palaeontologica Polonica 51 (2): 351–376.",,,,
Deccanolestes hislopi,0.95,0.58,1,1,,"Rana, R.S. and Wilson, G.P. 2003. New Late Cretaceous mammals from the Intertrappean beds of Rangapur, India and
paleobiogeographic framework. Acta Palaeontologica Polonica 48 (3): 331–348.",,,,
Deccanolestes narmadensis,,,,,,"Guntupalli V.R. PrasadOmkar VermaEmmanuel GheerbrantAnjali GoswamiAshu KhoslaVarun ParmarAshok Sahni. 2009. First mammal evidence from the Late Cretaceous of India for biotic
dispersal between India and Africa at the KT transition",no certain m1,,,
Deccanolestes robustus,1.48,0.94,1,1,,"Rana, R.S. and Wilson, G.P. 2003. New Late Cretaceous mammals from the Intertrappean beds of Rangapur, India and paleobiogeographic framework. Acta Palaeontologica Polonica 48 (3): 331–348.",,,,
Delphodon comptus,,,,,,,cant find it. Also may be Didelphodon comptus,,,
Deltatheridium nessovi,,,,,,,no m1,,,
Deltatheridium pretrituberculare,,,,,,"Rougier, Guillermo W.; Wible, John R.; Novacek, Michael J. (1998). . Nature, 396(6710), 459–463. doi:10.1038/24856 ",measurement would be possible but can't find it reported,,,
Deltatheroides cretacicus,,,,,,,lower molars but not specified m1,,,
Didelphodon coyi,,,,,,,broken m1 ,,,
Djadochtatherium matthewi,,,,,,G. G. Simpson. 1925. A Mesozoic mammal skull from Mongolia. American Museum Novitates 201:1-12,"AM 20440 skull and jaws. Unsure if m1 could be measured. Not from images in 1925 paper. Referred to as a juvenile in Kielan-Jaworowska, Z. & Hurum, J.H. 1997. Djadochtatheria - a new suborder of
multituberculate mammals. -Acta Palaeontologica Polonica 42, 2,201-242",,,
Donodon prescriptoris,,,,,,"D. Sigogneau-Russell. 1991. Nouveaux Mammiferes theriens du Cretace inferieur du Maroc. Comptes-Rendus de l'Academis des Sciences du Paris, series II 313:279-285",one right upper molar,,,
Dorsetodon haysomi,,,,,,,unidentified molars,,,
Duquettichnus kooli,,,,,,,ichnofossil,,,
Durlstodon ensomi,,,,,,"Sweetman, S.C., Smith, G., and Martill, D.M. 2017. Highly derived eutherian mammals from the earliest Cretaceous of
southern Britain. Acta Palaeontologica Polonica 62 (4): 657–665.",upper M3,,,
Durlstotherium newmani,,,,,,"Sweetman, S.C., Smith, G., and Martill, D.M. 2017. Highly derived eutherian mammals from the earliest Cretaceous of southern Britain. Acta Palaeontologica Polonica 62 (4): 657–665.",upper M3,,,
Dyskritodon amazighi,,,,,,,Molar of unidentified position,,,
Ectocentrocristus foxi,,,,,,"“South American” Marsupials from the Late Cretaceous of North America and the Origin of Marsupial Cohorts 2005. Judd A Case, Francisco J. Goin and Michael O. Woodburne","AMNH 77371, m1. no measurements reported",,,
Ectoconodon montanensis,,,,,,G. G. Simpson. 1927. Mammalian Fauna of the Hell Creek Formation of Montana. American Museum Novitates 267:1-8,isolated left upper molar,,,
Endotherium niinomii,,,,,,"Reappraisal of Endotherium niinomii Shikama, 1947, a eutherian mammal from the Lower Cretaceous Fuxin Formation, Fuxin-Jinzhou Basin, Liaoning, China 2018. WANG Yuan-Qing, KUSUHASHI Nao, JIN Xun, LI Chuan-Kui, SETOGUCHI Takeshi, GAO Chun-Ling, LIU Jin-Yuan","found in coal so no width. the impressions of the m1 and m2 are 1.6 and 1.7 mm long,
respectively, and thus the true molar lengths (estimated about 2 mm) should be slightly more
than these values, but not up to the numbers given by Shikama (1947).",,,
Eoalphadon woodburnei,,,,,,"J. G. Eaton. 2009. Cenomanian (Late Cretaceous) mammals from Cedar Canyon, southwestern Utah, and a revision of Cenomanian Alphadon-like marsupials. Museum of Northern Arizona Bulletin 65:97-110",cant get paper. Requested on researchgate,,,
Eobaatar clemensi,1.6,1.1,,,,"Sweetman, S.C. 2009. A new species of the plagiaulacoid multituberculate mammal Eobaatar from the Early Cretaceous
of southern Britain. Acta Palaeontologica Polonica 54 (3): 373–384. DOI: 10.4202/app.2008.0003.",possibly tentitatively assigned?,Y,,
Eobaatar hispanicus,,,,,,"Gerhard Hahn; Renate Hahn (2002). Neue Multituberculaten-Zähne aus dem Barremium (Unter-Kreide) von Galve (Spanien). , 76(2), 257–259.         doi:10.1007/bf02989862     ",no m1,,,
Eobaatar magnus,1.724,1.178,5,5,,"KIELAN-JAWOROWSKA, Z., DASHZEVEG, D. and TROFIMOV, B. A.: Early
Cretaceous multituberculates from Mongolia and a comparison with Late Jurassic
forms. Acta Palaeont. Polonica, 38, 1-2, 3-47, 19&7 and Multituberculata from the Early Cretaceous of Mongolia
A. V. Lopatin A. O. Averianov",,,,
Eobaatar minor,,,,,,"Early Cretaceous multituberculates from Mongolia and a comparison with Late Jurassic forms
Zofia Kielan-Jaworowska, Demberlyin Dashzeveg, and Boris A. Trofimov",no m1,,,
Eobaatar pajaronensis,,,,,,"Gerhard Hahn; Renate Hahn (2001). Multitubercular teeth from the Lower Cretaceous (Barremian) of Pié Pajarón (Prov. Cuenca, Spain). , 74(4), 587-589. doi:10.1007/bf02988165 ",no m1,,,
Eodelphis browni,3.9,2.6,,,,,,,,
Eodelphis cutleri,,,,,,"A. S. Woodward. 1916. On a mammalian mandible (Cimolestes cutleri) from an Upper Cretaceous formation in Alberta, Canada. Proceedings of the Zoological Society of London 1916:525-528",roots of m1,,,
Eomaia scansoria,,,,,,"The earliest known eutherian mammal. Qiang Ji, Zhe-Xi Luo, Chong-Xi Yuan, John R. Wible, Jian-Ping Zhang & Justin A. Georgi","on slab, can't measure width",,20-25g,
Eoungulatum kudukensis,,,,,,,no m1,,,
Eozhelestes mangit,1.1,1.5,1,1,,"Alexander Averianov, J. David Archibald. 2004. Mammals from the mid-Cretaceous Khodzhakul Formation,
Kyzylkum Desert, Uzbekistan",,,,
Falepetrus barwini,,,,,,"New Late Cretaceous, North American advanced therian mammals that fit neither the marsupial nor eutherian molds 1986. William A. Clemens ; Jason A. Lillegraven",upper molars,,,
Ferugliotherium windhauseni,2.25,1.6,2,2,,Vucetichia (Gondwanatheria) Is a Junior Synonym of Ferugliotherium (Multituberculata) David W. Krause,,,,
Fumodelphodon pulveris,,2.74,,,,"Joshua E. Cohen 2017. Earliest Divergence of Stagodontid (Mammalia:
Marsupialiformes) Feeding Strategies from the Late Cretaceous
(Turonian) of North America",no length available,,,
Gallolestes agujaensis,,,,,,"Phylogenetic analysis, taxonomic revision, and dental ontogeny of the Cretaceous Zhelestidae (Mammalia: Eutheria) J. DAVID ARCHIBALD and ALEXANDER AVERIANOV",no certain m1,,,
Galulatherium jenkinsi,,,,,,,dammaged teeth,,,
Galveodon nannothus,,,,,,G. Hahn and R. Hahn. 1992. Neue Multituberculaten-Zähne aus der Unter-Kreide (Barremium) von Spanien (Galve un Uña). Geologica et Palaeontologica 26:143-162,Cant find paper,,,
Gerhardodon purbeckensis,,,,,,Multituberculate mammals from the Upper Jurassic Purbeck Limestone Formation of southern England. 1992. Z. Kielan-Jaworowska and P. C. Ensom,no m1,,,
Glasbius intricatus,1,0.7,1,1,,,,,,
Gobiconodon borissiaki,2.525,1.2375,4,4,,"Alexey Lopatin & Alexander Averianov. 2015. Gobiconodon (Mammalia) from the Early Cretaceous of Mongolia
and Revision of Gobiconodontidae", used the adults (second generation and 3rd generation) molar measurements from paper. One specimen reported in this paper are measurements from Kielan-Jaworowska and Dashzeveg (1998),,,
Gobiconodon haizhouensis,1.72,0.94,1,1,,"Nao Kusuhashi, Yuan-Qing Wang, Chuan-Kui Li & Xun Jin (2016) Two
new species of Gobiconodon (Mammalia, Eutriconodonta, Gobiconodontidae) from the Lower
Cretaceous Shahai and Fuxin formations, northeastern China, Historical Biology, 28:1-2, 14-26,
DOI: 10.1080/08912963.2014.977881",IVPP V14509,,,
Gobiconodon hoburensis,1.5275,0.825,4,4,,"Alexey Lopatin & Alexander Averianov. 2015. Gobiconodon (Mammalia) from the Early Cretaceous of Mongolia
and Revision of Gobiconodontidae",only used the adults (second generation) molar measurements from paper. One specimen reported in this paper are measurements from Kielan-Jaworowska and Dashzeveg (1998),,,
Gobiconodon hopsoni,,,,,,,no m1,,,
Gobiconodon luoianus,3,,,,,"A New Species of Gobiconodon (Mammalia) from Western Liaoning, China and its Implication for the Dental Formula of Gobiconodon
C YUAN, L XU, X ZHANG, Y XI. 2009","no width, skull and jaw fused together.",,,
Gobiconodon tomidai,,,,,,,m1 alveoli only,,,
Gobiconodon zofiae,2.3,0.9,1,1,,"Chuankui Li; Yuanqing Wang; Yaoming Hu; Jin Meng (2003). A new species ofGobiconodon(Triconodonta, Mammalia) and its implication for the age of Jehol Biota. , 48(11), 1129–1134. doi:10.1007/bf03185767 ",IVPP V12585,,,
Gobiotheriodon infinitus,,,,,,,no m1 preserved,,,
Gondwanatherium patagonicum,,,,,,,one upper molar,,,
Groebertherium novasi,,,,,,"J. F. Bonaparte. 1986. Sobre Mesungulatum houusayi y nuevos mamíferos Cretácicos de Patagonia, Argentina [On Mesungulatum houssayi and new Cretaceous mammals from Patagonia, Argentina]. Actas del IV Congreso Argentino de Paleontología y Biostratigrafía 2:48-61",,,,
