Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Archaeotrigon brevimaxillus,1.2,0.82,,,,"A.O. Averianov and T. Martin. 2015. ONTOGENY AND TAXONOMY OF PAURODON VALENS (MAMMALIA, CLADOTHERIA) FROM THE UPPER JURASSIC MORRISON FORMATION OF USA",,,,
Argentoconodon fariasorum,3.26,2.25,,,,"Leandro C. Gaetano & Guillermo W. Rougier (2011) New materials of
Argentoconodonfariasorum (Mammaliaformes, Triconodontidae) from the Jurassic of Argentina
and its bearing on triconodont phylogeny, Journal of Vertebrate Paleontology, 31:4, 829-843, DOI:
10.1080/02724634.2011.589877",,,,
Asfaltomylos patagonicus,0.85,0.39,,,,"Thomas Martin & Oliver W. M. Rauhut. 2010. Mandible and dentition of Asfaltomylos patagonicus
(Australosphenida, Mammalia) and the evolution
of tribosphenic teeth",Approx.,,,
Bathmochoffatia hapax,,,,,,"Occlusal Pattern in Paulchoffatiid Multituberculates
and the Evolution of Cusp Morphology in Mammaliamorphs
with Rodent-like Dentitions
Vincent Lazzari & Julia A. Schultz & Paul Tafforeau &
Thomas Martin","IPFUB ha (m1)-1, a tooth (left m1) right M1 of Bathmochoffatia
hapax (MG 6809, reversed).",,,
Bernardodon atlanticus,,,,,,G. Hahn and R. Hahn. 1999. Pinheirodontidae n. fam. (Multituberculata) (Mammalia) aus der tiefen Unter-Kreide Portugals. Palaeontographica Abteilung A 253(4-6):77-222,"PP MULT 120 (holotype) and paratypes, a tooth (right m2)",,,
Borealestes mussetti,1.57,0.67,,,,"Panciroli et al, 2019. The mandible and dentition of Borealestes serendipitus (Docodonta) from the Middle Jurassic of Skye, Scotland",Took longest measurements reported for tooth,,,
Borealestes serendipitus,0.79,1.585,,,,"Panciroli et al, 2019. The mandible and dentition of Borealestes serendipitus (Docodonta) from the Middle Jurassic of Skye, Scotland",Average across left and right dentary,,,
Brancatherulum tendagurense,,,,,,"W. O. Dietrich. 1927. Brancatherulum n. g., ein Proplacentalier aus dem obersten Jura des Tendaguru in Deutsch-Ostafrika. Centralblatt fur Mineralogie, Geologie, Palaeontologie Abteilung B 10:423-426",cant find specimen,,,
Bridetherium dorisae,,,,,,,unknown molariformes,,,
Cherwellia leei,,,,,,,right lower molar,,,
Comodon gidleyi,,,,,,"G. G. Simpson. 1925. Mesozoic Mammalia 1. American triconodonts: part 2. American Journal of Science, series 5 10:334-358",cant find specimen,,,
Comotherium richi,,,,,,,upper teeth,,,
Ctenacodon laticeps,,,,,,"O. C. Marsh. 1881. Notice of new Jurassic mammals. The American Journal of Science and Arts, series 3 21(121-126):511-513","YPM 11761, a maxilla (left upper jaw with molar and premolar teeth)",,,
Ctenacodon scindens,,,,,,G. G. Simpson. 1928. A Catalogue of the Mesozoic Mammalia in the Geological Department of the British Museum 1-215,"YPM 10366, a mandible (partial left mandible)",,,
Ctenacodon serratus,,,,,,,"YPM 11833, a mandible (right mandible, lacking M2 and extreme anterior and posterior parts of ramus. YPM 11832, a mandible (left mandible complete save for tip of coronoid, incisor, and molars)",,,
Cyrtlatherium canei,,,,,,E. F. Freeman. 1979. A Middle Jurassic mammal bed from Oxfordshire. Palaeontology 22(1):135-166,"BMNH M.3651 1, a tooth (right lower cheek tooth)",,,
Dinnetherium nezorum,,,,,,"F. A. Jenkins, Jr., A. W. Crompton, and W. R. Downs. 1983. Mesozoic mammals from Arizona: new evidence on mammalian evolution. Science 222:1233-1235","MNA V3221, a mandible (partial right mandible with m2-5).",,,
Docodon affinis,,,,,,"O. C. Marsh. 1887. American Jurassic mammals. The American Journal of Science, series 3 33(196):327-348","USNM 2129, a mandible (left mandible with C, P1, P3-4, and M2-4).",,,
Docodon apoxys,1.896551724,1.034482759,1,1,Y IMAGE,"G. W. Rougier, A. S. Sheth, K. Carpenter, L. Appella-Guiscafre, and B. M. Davis. 2014. A new species of Docodon (Mammaliaformes: Docodonta) from the Upper Jurassic Morrison Formation and a reassessment of selected craniodental characters in basal mammaliaforms. Journal of Mammalian Evolution"," DMNH 42198, a partial skull (a nearly complete left dentary with alveoli for i1–i4, p1, and crowns of the canine, p2–p4, and m1–m7)",,,
Docodon crassus,,,,,,,"USNM 2130, a mandible (right mandible with C, P3-4, and M1-4).. Cant find specimen",,,
Docodon striatus,,,,,,"O. C. Marsh. 1881. Notice of new Jurassic mammals. The American Journal of Science and Arts, series 3 21(121-126):511-513"," YPM 11823, a mandible (right mandible with C, P1-4, and M1-5).. On slab so cant measure width. Could measure length",,,
Docodon superus,,,,,,G. G. Simpson. 1929. American Mesozoic Mammalia. Memoirs of the Peabody Museum of Yale University 3(1):1-171,"YPM 10647, a maxilla (right maxilla with canine and M1-5)",,,
Docodon victor,1.64,1.18,1,1,,"POSTILLA
PEABODY MUSEUM
YALE UNIVERSITY
NUMBER 139. 20 NOV. 1969
OCCLUSION IN DOCODON (MAMMALIA, DOCODONTA)
FARISH A. JENKINS, JR. ",,,,
Docofossor brachydactylus,1.106,0.586,,,,,,,,
Drescheratherium acutum,,,,,,"B. Krebs. 1998. Drescheratherium acutum gen. et sp. nov., ein neuer Eupantotherier (Mammalia) aus dem Oberen Jura von Portugal. Berliner Geowissenschaftliche Abhandlungen, Reihe E 28:91-111","Gui Mam 4/73, a maxilla.",,,
Dryolestes leirensis,,,,,,"Dryolestidae (Dryolestida, Mammalia) aus dem Oberen Jura von Portugal","Gui Mam 130/74, a mandible (left mandible with C, P1-4, M1-8)",,,
Dryolestes priscus,,,,,,,cant find specimen,,,
Dryolestes vorax,,,,,,,cant find specimen,,,
Dsungarodon zuoi,,,,,,,unknown lower molars,,,
Dyskritodon indicus,,,,,,,unidentified left lower molar,,,
Ecprepaulax anomala,,,,,,G. Hahn and R. Hahn. 1999. Pinheirodontidae n. fam. (Multituberculata) (Mammalia) aus der tiefen Unter-Kreide Portugals. Palaeontographica Abteilung A 253(4-6):77-222,"PP MULT 155, a tooth (i2).",,,
Eleutherodon oxfordensis,,,,,,,unidentified molars,,,
Entodipodiscus priscus,,,,,,,ichnospecies,,,
Eopentapodiscus crassus,,,,,,,ichnospecies,,,
Eopentapodiscus major,,,,,,,ichnospecies,,,
Eotetrapodiscus cursor,,,,,,,ichnospecies,,,
Eotetrapodiscus moyenensis,,,,,,,ichnospecies,,,
Euthlastus cordiformis,,,,,,G. G. Simpson. 1927. Mesozoic Mammalia. VI. Genera of Morrison pantotheres. American Journal of Science 13:409-416,"YPM 13755, a maxilla (right maxilla with last four molars, all broken).",,,
Ferganodon naryensis,,,,,,T. Martin and A. O. Averianov. 2007. A previously unrecognised group of Middle Jurassic triconodontan mammals from Central Asia. Naturwissenschaften 94:43-48,"ZIN 94214, a tooth (Right lower molariform tooth)",,,
Foxraptor atrox,1.17,0.93,,,,"A.O. Averianov and T. Martin. 2015. ONTOGENY AND TAXONOMY OF PAURODON VALENS (MAMMALIA, CLADOTHERIA) FROM THE UPPER JURASSIC MORRISON FORMATION OF USA",measurements after Carpenter 1998 by the authors,,,
Fruitafossor windscheffeli,,,,,,,no measurements reported. Some dammage to m1.,,,
Glirodon grandis,,,,,,,dammaged m1,,,
Gondtherium dattai,,,,,,G. V. R. Prasad and B. K. Manhas. 2007. A new docodont mammal from the Jurassic Kota Formation of India. Palaeontologia Electronica 10(2):7A-1-7A-11,"VPL/JU/KM/12, a tooth (left P3).",,,
Guimarotodon leiriensis,,,,,,,"V. J. 396-155, a mandible. Cant find paper",,,
Guimarotodus inflatus,,,,,,"T. Martin. 1999. Dryolestidae (Dryolestida, Mammalia) aus dem Oberen Jura von Portugal. Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft 550:1-119"," Gui mam 121/75, a mandible (right manidble). Cant find paper",,,
Hahnotherium antiquum,,,,,,,no m1,,,
Henkelodon naias,,,,,,G. Hahn. 1977. Neue Schaedel-Reste von Multituberculaten (Mamm.) aus dem Malm Portugals. Geologica et Palaentologica 11:161-186,"V.J. 401-155, a partial skull (broken skull with right i2-m1). Cant find paper",,,
Henkelotherium guimarotae,,,,,,"Postcranial Skeleton of Henkelotherium guimarotae (Cladotheria, Mammalia) and Locomotor Adaptation K. R. K. Jäger & Z.-X. Luo & T. Martin. 2019. ",on slab so width not possible. Length would be,,,
Henosferus molus,1.7,0.74,1,1,,"New Jurassic Mammals from Patagonia, Argentina: A Reappraisal of Australosphenidan Morphology and Interrelationships. 2007. ROUGIER, GUILLERMO W., MARTINELLI, AGUSTÍN G., FORASIEPI, ANALÍA M., and NOVACEK, MICHAEL J.",only used one molar MPEF 2353 m1 because other measurements were estimated,,,
Huasteconodon wiblei,,,,,,,maxilla only,,,
Hutegotherium yaomingi,,,,,,"NEW DOCODONTANS FROM THE MIDDLE JURASSIC OF SIBERIA AND REANALYSIS OF DOCODONTA INTERRELATIONSHIPS A.O. Averianov, A.V. Lopatin, S.A. Krasnolutskii and S.V. Ivantsov","unknown molars. PIN 5087/6: L=2.0, W=2.5.
PM TGU 200/5-BR-2: antepenultimate molariform
tooth: L=1.9, W=1.25; penultimate molariform tooth:
L=1.8, W=1.1. PIN 5087/8: antepenultimate molariform tooth: L=2.1, W=1.1; penultimate molariform
tooth: L=1.7, W=0.9.",,,
Iberodon quadrituberculatus,,,,,,G. Hahn and R. Hahn. 1999. Pinheirodontidae n. fam. (Multituberculata) (Mammalia) aus der tiefen Unter-Kreide Portugals. Palaeontographica Abteilung A 253(4-6):77-222,"PP MULT 143 (holotype), and paratypes, a tooth (left m2)",,,
Indobaatar zofiae,,,,,,,one upper p4,,,
Indotherium pranhitai,,,,,,,no m1,,,
Itatodon tatarinovi,2.1,1.1,,,,"NEW DOCODONTANS FROM THE MIDDLE JURASSIC OF SIBERIA AND REANALYSIS OF DOCODONTA INTERRELATIONSHIPS A.O. Averianov, A.V. Lopatin, S.A. Krasnolutskii and S.V. Ivantsov",,,,
Juramaia sinensis,,,,,,,m1 set in slab,,,
Kermackodon multicuspis,,,,,,,no m1,,,
Kielanodon hopsoni,,,,,,,"V.J. 463-155, a maxilla (broken right maxilla with p3-5).",,,
