Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Amphechinus major,2.29,1.45,21,6,,"Oligocene-Miocene Vertebrates from the Valley of Lakes (Central Mongolia): Morphology, phylogenetic and stratigraphic implications Editor: Gudrun DAXNER-HÖCK 4. Marsupialia, Erinaceomorpha and Soricomorpha (Mammalia) By Reinhard ZIEGLER1 , Thomas DAHLMANN2 , and Gerhard STORCH 2007",,,,Asia
Amphechinus minimus,2.05,,2,2,,"On some Oligocene insectivore remains from Mongolia
A Sulimski 1970",Amphechinus (Palaeoerinaceus) cf. minimus,,,Asia
Amphechinus minutissimus,1.76,1.09,10,16,,"Oligocene-Miocene Vertebrates from the Valley of Lakes (Central Mongolia): Morphology, phylogenetic and stratigraphic implications Editor: Gudrun DAXNER-HÖCK 4. Marsupialia, Erinaceomorpha and Soricomorpha (Mammalia) By Reinhard ZIEGLER1 , Thomas DAHLMANN2 , and Gerhard STORCH 2007",,,,Asia
Amphechinus rectus,3.957142857,2.45,14,14,,"Huang 1984. Fossil Erinaceidae (Insectivora, Mammalia) from the Middle Oligocene of Ulantatal, Alxa Zouqi, Nei Mongol",Shan translate,,,Asia
Amphechinus taatsiingolensis,2.03,1.24,1,1,,"Oligocene-Miocene Vertebrates from the Valley of Lakes (Central Mongolia): Morphology, phylogenetic and stratigraphic implications Editor: Gudrun DAXNER-HÖCK 4. Marsupialia, Erinaceomorpha and Soricomorpha (Mammalia) By Reinhard ZIEGLER1 , Thomas DAHLMANN2 , and Gerhard STORCH 2007",,,,Asia
Amphicticeps dorog,11.08,5.26,5,5,,"Amphicticeps and Amphicynodon (Arctoidea, Carnivora) from Hsanda Gol Formation, Central Mongolia and Phylogeny of Basal Arctoids with Comments on Zoogeography XIAOMING WANG, MALCOLM C. McKENNA, AND DEMBERELYIN DASHZEVEG 2005",,,,Asia
Amphicticeps makhchinus,,,,,,"Amphicticeps and Amphicynodon (Arctoidea, Carnivora) from Hsanda Gol Formation, Central Mongolia and Phylogeny of Basal Arctoids with Comments on Zoogeography XIAOMING WANG, MALCOLM C. McKENNA, AND DEMBERELYIN DASHZEVEG 2005",no m1?,,,Asia
Amphicticeps shackelfordi,9.15,4.575,8,8,,"Amphicticeps and Amphicynodon (Arctoidea, Carnivora) from Hsanda Gol Formation, Central Mongolia and Phylogeny of Basal Arctoids with Comments on Zoogeography XIAOMING WANG, MALCOLM C. McKENNA, AND DEMBERELYIN DASHZEVEG 2005",,,,Asia
Amphicynodon teilhardi,8.42,3.9,5,5,,"Amphicticeps and Amphicynodon (Arctoidea, Carnivora) from Hsanda Gol Formation, Central Mongolia and Phylogeny of Basal Arctoids with Comments on Zoogeography XIAOMING WANG, MALCOLM C. McKENNA, AND DEMBERELYIN DASHZEVEG 2005",,,,Asia
Amphilagus magnus,2.4,2.46,7,7,,"New Species of Amphilagus (Lagomorpha, Mammalia) from the Miocene of the Valley of Lakes, Central Mongolia M. A. Erbajeva 2013",,,,Asia
Ampholophus luensis,,,,,,"J. Wang and Y. Tong. 1996. A new lophialetid perissodactyl (Mammalia) from the Early Eocene of Wutu Basin, Shandong Province. Vertebrata PalAsiatica 34(4):312-321",no m1,,,Asia
Amynodon alxaensis,29,,1,1,,T. Qi. 1975. An Early Oligocene mammalian fauna of Ningxia. Vertebrata PalAsiatica 13(4):217-224,,,,Asia
Amynodontopsis jiyuanensis,,,,,,"A new species of Amynodontopsis (Perissodactyla: Amynodontidae) from the Middle Eocene of Jiyuan, Henan, China WANG Xiao-Yang1,2 WANG Yuan-Qing1,2,3* ZHANG Rui4 ZHANG Zhong-Hui5 LIU Xiao-Ling6 REN Li-Ping 2020",Skull only,,,Asia
Anadianomys declivis,1.55,1.43,2,2,,"Y. Tong. 1997. Middle Eocene Small Mammals from Liguanqiao Basin of Henan Province and Yuanqu Basin of Shanxi Province, Central China. Palaeontologica Sinica, New Series C 26:1-256",,,,Asia
Anagale gobiensis,3.65,3.6,2,2,,New Evidence Against Tupaioid Affinities of the Mammalian Famnily Anagalidael BY MALCOLM C. MCKENNA 1963,,,,Asia
Anagalopsis kansuensis,4.2,4.3,1,1,,New Evidence Against Tupaioid Affinities of the Mammalian Famnily Anagalidael BY MALCOLM C. MCKENNA 1963,,,,Asia
Anaptogale wanghoensis,,,,,,New Materials of Anagalidae from the Palaeocene of Anhui (B),Upper teeth only,,,Asia
Anatolechinos huadianensis,1.84,1.44,1,1,,"Wang and Li, 1990 First Paleogene Mammalian Fauna from the Northeast China",Recombined from Tupaiodon huadianensis,,,Asia
Anatolechinos neimongolensis,1.75,1.45,2,2,,"FIRST RECORD OF LATE EOCENE INSECTIVORES AND CHIROPTERES FROM NEI MONGOL, CHINA??
WANG Ban-Yue  2008",,,,Asia
Anatolostylops zhaii,5.45,2.3,1,1,,"Yuan-Qing Wang , Jin Meng , Xi-Jun Ni & K. Christopher Beard (2008) A new early Eocene arctostylopid (Arctostylopida, Mammalia) from the Erlian Basin, Nei Mongol (Inner Mongolia), China, Journal of Vertebrate Paleontology, 28:2, 553-558, DOI: 10.1671/0272-4634(2008)28[553:ANEEAA]2.0.CO;2",,,,Asia
Anchilestes impolitus,3.8,3.2,1,1,,"New Hypsodont Tillodont (Mammalia, Tillodontia) from the Early Eocene of India Authors: Rose, Kenneth D., Kumar, Kishor, Rana, Rajendra S., Sahni, Ashok, and Smith, Thierry",,,,Asia
Andersomys austrarx,,,,,,"Dawson et al. 2003. ZELOMYIDAE, A NEW FAMILY OF RODENTIA ( MAMMALIA) FROM THE EOCENE OF ASIA",no m1,,,Asia
Andersomys laoweni,1.7,1.49,2,2,,"Dawson et al. 2003. ZELOMYIDAE, A NEW FAMILY OF RODENTIA ( MAMMALIA) FROM THE EOCENE OF ASIA",,,,Asia
Andrewsarchus mongoliensis,,,,,,"Asiatic Mesonychidae (Mammalia, Condylarthra). Bulletin of the AMNH ; v. 132, article 2 Szalay, Frederick S.; Gould, Stephen Jay.; Central Asiatic Expeditions (1921-1930)",upper jaw only,,,Asia
Anictops tabiepedis,4.425,3.5,4,4,,"ZHENG Jia-Jian, ZHENG Long-Ting, HUANG Xue-Shi 1999 NEW MATERIALS OF PSEUDICTOPIDAE (ANAGALIDA, MAMMALIA) FROM EARLY—NNDDLE PALEOCENE OF QIANSHAN BASIN, ANHUI",,,,Asia
Anictops wanghudunensis,4.3,3.7,1,1,,"ZHENG Jia-Jian, ZHENG Long-Ting, HUANG Xue-Shi 1999 NEW MATERIALS OF PSEUDICTOPIDAE (ANAGALIDA, MAMMALIA) FROM EARLY—NNDDLE PALEOCENE OF QIANSHAN BASIN, ANHUI",,,,Asia
Anomoemys lohiculus,1.921875,2.115625,16,16,,"CYLINDRODONTIDAE (RODENTIA, MAMMALIA) FROM THE MIDDLE OLIGOCENE OF ULANTATAL, NEI MONGOL Huang Xueshi",,,,Asia
Anthracokeryx sinensis,,,,,,"The Anthracotheriidae (Mammalia; Artiodactyla) from the Eocene Pondaung Formation (Myanmar) and comments on some other anthracotheres from the Eocene of … T Tsubamoto, M Takai, N Egi, N SHIGEHARA… - Paleontological …, 2002","Synonomysed with Anthracotherium The Anthracotheriidae (Mammalia; Artiodactyla) from the Eocene Pondaung Formation (Myanmar) and comments on some other anthracotheres from the Eocene of … T Tsubamoto, M Takai, N Egi, N SHIGEHARA… - Paleontological …, 2002",,,Asia
Anthracosenex ambiguus,,,,,,"O. Zdansky. 1930. Die alttertiären Säugetiere Chinas nebst stratigraphischen Bemerkungen (Mammalian fauna of the Lower Tertiary from China and some stratigraphic remarks). Palaeontologia Sinica, Series C 7(2):1-87",Cannot find paper,,,Asia
Anthracothema minima,,,,,,,no m1,,,Asia
Apataelurus pishigouensis,,,,,,"Zach 2019 The first North American Propterodon (Hyaenodonta: Hyaenodontidae), a new species from the late Uintan of Utah","2 m1s in jaws, but no measurements, and no measurable pictures",,,Asia
Aprotodon lanzhouensis,32.46,23.964,5,5,,"New material of Aprotodon lanzhouensis (Perissodactyla, Rhinocerotidae) from the Early Miocene in Northwest China Zhaoyu Li, Yongxiang Li, Yunxiang Zhang, Kun Xie, Zhichao Li, Yu Chen 2021",,,,Asia
