Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Aaptoryctes ivyi,2.7,2.5,1,1,,Gingerich 1982,Gingerich 1982d (type: FG-47),,,US
Abelmoschomys simpsoni,1.48,0.95,8,8,,Baskin 1986,Baskin 1986,,,
Absarokius abbotti,2.39,2.16,132,132,,Bown and Rose 1987,Bown and Rose 1987,,,
Absarokius gazini,2.3,1.85,3,3,,Bown and Rose 1987,Bown and Rose 1987 (type),,,
Absarokius metoecus,2.33,2.12,49,49,,Bown and Rose 1987,Bown and Rose 1987,,,
Acarechimys minutissimus,1.56,1.47,1,1,,Walton 1990,,,,
Acaremys murinus,1.94,1.84,1,1,,Vucetich and Kramarz 2003,width = posterior,,,AR
Acarictis ryani,3.95,2.1,2,2,,Gingerich and Deutsch 1989,Gingerich and Deutsch 1989 (type: Clarks Fork Basin),,,
Achaenodon robustus,25.2,19.45,2,2,,Gazin 1955,Gazin 1955,,,
Achlyoscapter longirostris,1.595,1.005,2,2,,Hutchison 1968,Hutchison 1968 (type: UO 2465),,,US
Acidomomys hebeticus,2.275,2.035,2,2,,Bloch et al. 2002,Bloch et al. 2002 (includes type: SC-62),,,US
Acmeodon secans,3.638333333,2.391666667,11,11,,Wilson 1985,Wilson 1985 (Rigby 1980),,,
Acritohippus isonesus,18.5,10.46666667,12,12,,Gazin 1932,Gazin 1932 (Skull Spring),,,US
Acritohippus quinni,20.8,11.7,10,10,,Kelly 1995,Kelly 1995c (Caliente Fm.),,,
Acritoparamys atavus,1.58,1.525,10,10,,Ivy 1990,Ivy 1990 (Clark's Fork Basin),,,
Acritoparamys atwateri,2.295334,2.173334,26,26,,Korth 1984,Korth 1984 (excluding UMMP specimen; type is not measurable contra Wood 1962),,,
Acritoparamys francesi,2.353333333,2.136666667,38,38,,Korth 1984,Korth 1984 (Lost Cabin; Knight Member; apparently new CM and CU material),,,
Acritoparamys pattersoni,3.145,2.89,2,2,,Wood 1962,Wood 1962 (type: Rifle),,,
Adeloblarina berklandi,1.65,1,2,2,,Green 1985,Green 1985,,,
Adelphailurus kansensis,16,7,1,1,,Bennett 1979,Bennett 1979,,,
Adilophontes brachykolos,29.13333333,13.86666667,3,3,,Hunt 2002,Hunt 2002b (type: 18 Mile District),,,
Adjidaumo burkei,0.8,0.9,1,1,,Russell 1954,Russell 1954 (type: Kishenehn),,,
Adjidaumo craigi,0.99,0.97,49,49,,Storer 1987,Storer 1987 (Lac Pelletier: includes type; m12),,,CA
Adjidaumo intermedius,1.06,1.025,4,4,,Korth 1989,Korth 1989a (type: UNSM Sx-24),,,US
Adjidaumo maximus,1.28,1.22,1,1,,Korth 1989,Korth 1989a (type: UNSM Sx-21),,,US
Adjidaumo minimus,0.95,0.9,4,4,,Black 1965,Black 1965,,,
Adjidaumo minutus,1.2,1.15,27,27,,Wood 1974,Wood 1974 (Porvenir),,,
Adunator ladae,1.636666667,1.223333333,13,13,,Simpson 1937,Simpson 1937a (Gidley Quarry: includes type),,,
Adunator meizon,1.73,1.23,3,3,,Gingerich 1983,Gingerich 1983c (Cedar Point Quarry: includes type),,,US
Adunator minutus,1.8365,1.2585,4,4,,Winterfeld 1982,Winterfeld 1982 (referred: Rock Springs Uplift),,,
Aelurodon asthenostylus,25.58,9.81,36,36,,Wang et al. 1999,Wang et al. 1999 (includes type of Henshaw 1942),,,
Aelurodon ferox,28.24,10.96,70,70,,Wang et al. 1999,Wang et al. 1999,,,
Aelurodon mcgrewi,25.67,10.07,7,7,,Wang et al. 1999,Wang et al. 1999 (includes type),,,
Aelurodon montanensis,29,12.6,1,1,,Wang et al. 2004,width is trigonid; talonid width 10.3,,,US
Aelurodon stirtoni,24.69,10.13,11,11,,Wang et al. 1999,Wang et al. 1999,,,
Aelurodon taxoides,30.05,11.82,55,55,,Wang et al. 1999,"Wang et al. 1999 (includes type and referred, remeasured from Macdonald 1960, Wilson 1960, Dalquest and Hughes 1966, Voorhies 1990)",,,
Aepinacodon rostratus,16.5,14.8,1,1,,Alroy 2000,Macdonald 1956c (type: Metamynodon channels),,,
Aepycamelus procerus,26,16.5,1,1,,Alroy 2000,Matthew and Cook 1909 (type: repeated by Voorhies 1990),,,
Aepycamelus robustus,24.8,16.975,5,5,,Voorhies 1990,Voorhies 1990 (Norden Bridge Quarry),,,US
Aepycamelus stocki,24.5,15.5,1,1,,Henshaw 1942,Henshaw 1942 (Tonopah),,,US
Aethomylos simplicidens,2.255,1.2625,4,4,,Novacek 1976,Novacek 1976,,,
Ageitodendron matthewi,3.3,2.7,1,1,,Gunnell 1995,Gunnell 1995a (type: UM BRW-195),,,US
Agnotocastor coloradensis,3.65,4.4,5,5,,Wilson 1949,Wilson 1949b (type: Cedar Creek),,,US
Agnotocastor galushai,2.86,3.55,1,1,,Emry 1972,Emry 1972a,,,
Agnotocastor readingi,3.16875,3.52875,5,5,,Korth 1988,Korth 1988c,,,
Agriochoerus antiquus,12.46,9.13,12,12,,Wilson 1971,Wilson 1971a (Porvenir),,,
Agriotherium schneideri,42.16,21.92,5,5,,Savage 1941,Savage 1941 (Optima: Savage also repeats a 26 X 20 measurement from Sellards that appears to be a typo based on reported total length of m1-3),,,
Aguascalientia wilsoni,9.583333333,6.933333333,3,3,,Stevens 1977,Stevens 1977 (type: TMM 41536),,,
Alagomys russelli,0.84,0.87,1,1,,Dawson and Beard 1996,Dawson and Beard 1996 (Big Multi),,,
Alces alces,27.79333333,20.05,56,56,,Alroy 2000,"Recent ""A. gigas"" specimen ""collected at Kenai Peninsula, Alaska""",,,
Aletodon conardae,4.62,3.73,1,1,,Winterfeld 1982,Winterfeld 1982 (type: Rock Springs Uplift UW V-77059),,,
Aletodon gunnelli,4.86,3.69,7,7,,Gingerich 1977,Gingerich 1977 (upper Sand Coulee: includes type from SC-90),,,
Aletodon quadravus,3.93,3.3,6,6,,Gingerich 1983,Gingerich 1983c (Cedar Point Quarry: includes type),,,US
Alforjas taylori,26.9,15.7,11,11,,Harrison 1979,Harrison 1979 (Edson Quarry),,,US
Alilepus vagus,2.6,2.61,1,1,,Kelly 1994,Kelly 1994 (Fish Spring Flat),,,
Alilepus wilsoni,2.02,2.44,2,2,,Tomida 1987,Tomida 1987 (type: San Simon Power Line; see White 1991a),,,US
Allomys cavatus,2.1,1.7,1,1,,Rensberger 1983,Rensberger 1983 (type: Cope 1881),,,
Allomys cristabrevis,2.7,2.4,1,1,,Barnosky 1986,Barnosky 1986b (type: Emerald Lake SR),,,
Allomys nitens,2.5,2.1,2,2,,Rensberger 1983,Rensberger 1983,,,
Allomys reticulatus,2.15,1.75,2,2,,Rensberger 1983,Rensberger 1983,,,
Allomys storeri,2.06,1.84,1,1,,Tedrow and Korth 1997,Tedrow and Korth 1997 (Backward Butte),,,
Allomys tessellatus,1.9,1.7,1,1,,Rensberger 1983,Renberger 1983 (type),,,
Allophaiomys pliocaenicus,2.905833333,1.0575,86,86,,Semken 1966,"Semken 1966 (""Microtus llanensis"": Kentuck)",,,US
Alluvisorex arcadentes,1.34,0.775,4,4,,Hutchison 1966,Hutchison 1966 (type: UO 2465),,,US
Alostera saskatchewanensis,2.596666667,1.616666667,3,3,,Storer 1991,Storer 1991 (Gryde),,,CA
Alphadon attaragos,1.7,0.845,2,2,,Lillegraven and McKenna 1986,Lillegraven and McKenna 1986 (type: Sunset to Dawn Two),,,US
Alphadon eatoni,1.56,0.89,1,1,,Cifelli and de Muizon 1998,Cifelli and de Muizon 1998 (type: OMNH V798),,,US
Alphadon halleyi,1.86355,1.014125,41,41,,Sahni 1972,Lillegraven and McKenna 1986 (type: Clambank Hollow),,,US
Alphadon marshi,2.255,1.47,5,5,,Lillegraven 1969,Lillegraven 1969,,,
Alphadon perexiguus,1.536,0.769,2,2,,Cifelli 1994,Cifelli 1994 (Terlingua),,,US
Alphadon sahnii,2.226,1.132857143,7,7,,Lillegraven and McKenna 1986,Lillegraven and McKenna 1986 (Case Site 2),,,US
Alphadon wilsoni,1.81,1.03,4,4,,Lillegraven 1969,Lillegraven 1969,,,
Alphagaulus vetus,3.593333333,3.023333333,7,7,,Munthe 1988,Munthe 1988 (Split Rock),,,
Altacreodus magnus,5.09,3.34,5,5,,Lillegraven 1969,Lillegraven 1969,,,
Altasciurus relictus,1.672,1.742,40,40,,Alroy 2000,Wood 1937,,,
Alticonus gazini,4.923,3.551,1,1,,Eberle and Lillegraven 1998,Eberle and Lillegraven 1998b (type: Alexander),,,US
Altitypotherium chucalensis,9.9,5.9875,8,8,,Croft et al. 2004,,,,CL
Altitypotherium paucidens,10.52,6.44,5,5,,Croft et al. 2004,,,,CL
Aluralagus bensonensis,2.2,2.5,1,1,,Alroy 2000,Gazin 1942 (type: near Benson),,,
Alveojunctus minutus,1.75,1.25,1,1,,Bown 1982,Bown 1982,,,
Alveugena carbonensis,5.75,3.7,1,1,,Rook et al. 2010,,,,US
Alwoodia harkseni,2.62,2.375,5,5,,Macdonald 1970,Macdonald 1970,,,
Amebelodon floridanus,107.5,78,2,2,,Alroy 2000,Osborn 1936 (type),,,
Amelotabes simpsoni,3,1.8,1,1,,Alroy 2000,,,,US
Ammospermophilus fossilis,1.6,1.8,2,2,,James 1963,James 1963 (type: Big Cat Quarry),,,US
Ammospermophilus junturensis,1.5611,1.75,5,5,,Korth 1998,"Korth 1998c (type, UO 2338: remeasured from Shotwell and Russell 1963)",,,US
Ammospermophilus leucurus,1.6,1.9,1,1,,James 1963,James 1963 (Recent),,,
Amphechinus horncloudi,3.6,2.3,1,1,,Alroy 2000,"Rich 1981 (type, SDSM V-6229: remeasured from Macdonald 1970)",,,
Amphicyon frendens,37,17,1,1,,Wallace 1946,Wallace 1946 (Beatty Buttes),,,US
Amphicyon galushai,30.65,16.3,2,2,,Hunt 2003,Hunt 2003 (Dunlap Camel Quarry),,,US
Amphicyon intermedius,29,13.75,2,2,,Emry and Eshelman 1998,Emry and Eshelman 1998 (type: Thomas Farm),,,
Amphicyon longiramus,27.8,13.9,1,1,,Emry and Eshelman 1998,Emry and Eshelman 1998 (Pollack Farm Site),,,US
Amphimachairodus alvarezi,27.6,11,1,1,,Carranza-Castaneda and Miller 1996,Carranza and Miller 1996 (Rinconada),,,MX
Amphimachairodus coloradensis,32.02285714,13.42571429,12,12,,Savage 1941,Savage 1941 (Wray),,,US
Ampliconus antoni,6.435,4.537,1,1,,Eberle and Lillegraven 1998,Eberle and Lillegraven 1998b (UW V-91005),,,US
Amynodon advenus,26.43333333,18.66666667,18,18,,Wilson and Schiebout 1981,Wilson and Schiebout 1981 (TMM 41372),,,US
Amynodontopsis bodei,29.075,19.825,4,4,,Stock 1936,Stock 1936c (CIT 150; repeated by Wilson and Schiebout 1981),,,US
Anachlysictis gracilis,9.2,NA,1,NA,,Goin 1997,,,,
Anaptomorphus aemulus,2.4875,1.975,5,5,,Gazin 1958,Gazin 1958a (Cope 1872),,,
Anaptomorphus westi,2.665,1.825,8,8,,Gunnell 1995,Gunnell 1995a (Bridger A),,,
Anchiblarinella wakeeneyensis,1.36,0.84,1,1,,Hibbard and Jammot 1971,Hibbard and Jammot 1971 (type: WaKeeney),,,
Anchistodelphys archibaldi,1.35,0.66,1,1,,Cifelli 1990,Cifelli 1990b,,,
Anchistodelphys delicatus,1.4567,0.7567,3,3,,Cifelli 1990,Cifelli 1990c,,,
Anchitheriomys fluminis,8.4,11.3,1,1,,Stirton 1935,Stirton 1935 (East Surface Quarry),,,
Anchitherium clarencei,20.55,14.05,2,2,,MacFadden 2001,MacFadden 2001 (Thomas Farm: remeasured from Simpson 1932),,,US
Anchitherium navasotae,17.45,12.85,2,2,,Forsten 1975,Forsten 1975 (Garvin Gully: m12),,,US
Anconodon russelli,2.9,1.15,2,2,,Simpson 1937,Simpson 1937a (Gidley Quarry: includes type; see also Simpson 1935d),,,
Anemorhysis,1.9,1.4,1,1,,Gazin 1958,Gazin 1958a,,,
Anemorhysis natronensis,1.8,1.4,1,1,,Alroy 2000,Beard et al. 1992 (type),,,
Anemorhysis pattersoni,1.95,1.625,2,2,,Bown and Rose 1984,Bown and Rose 1984 (type: see also Bown and Rose 1987),,,
Anemorhysis sublettensis,1.65,1.3,1,1,,Bown and Rose 1984,Bown and Rose 1984 (type: Gazin 1952),,,
Anemorhysis wortmani,1.916666667,1.533333333,3,3,,Bown and Rose 1984,Bown and Rose 1984 (type: see also Bown and Rose 1987),,,
Angelarctocyon australis,7.65,4.2,1,1,,Gustafson 1986,Gustafson 1986b,,,
Anisonchus athelas,4.3,2.9,1,1,,Robison 1986,Robison 1986 (Ferron Mountain),,,US
Anisonchus oligistus,3.75,2.6,2,2,,Alroy 2000,Gazin 1941 (type: Dragon),,,
Anisonchus onostus,4.3,2.9,1,1,,Gazin 1939,Gazin 1939 (type: Dragon Canyon),,,US
Anisonchus sectorius,5.49,3.923333333,19,19,,Alroy 2000,Gazin 1941 (Dragon),,,US
Ankalagon saurognathus,17.9,9.55,2,2,,O'Leary et al. 2000,,,,
Ankylodon annectens,1.848333333,1.518333333,4,4,,Patterson and McGrew 1937,"Patterson and McGrew 1937 (type, Weld Co.)",,,
Anomoemys lewisi,2.55,2.35,2,2,,Black 1970,"Black 1970b (""P. sp."": see Black 1974; m1 or 2)",,,
Anouroneomys minimus,1.815,0.9788,8,8,,Brown 1980,Bown 1980 (Lemoyne Quarry),,,
Ansomys hepburnensis,1.62,1.55,8,8,,Hopkins 2004,,,,US
Ansomys nevadensis,1.61,1.7,1,1,,Kelly and Korth 2005,,,,US
Ansomys nexodens,1.93,1.97,1,1,,Korth 1992,Korth 1992b (type: South Side of Dry Hollow),,,US
Antecalomys phthanus,1.588,1.08,5,5,,Korth 1998,Korth 1998c (Pratt Quarry),,,US
Antecalomys valensis,1.42,0.923333333,24,24,,Shotwell 1967,Shotwell 1967a (UO 2516),,,US
Antecalomys vasquezi,1.34,0.94,4,4,,Jacobs 1977,Jacobs 1977,,,
Antiacodon venustus,5.315,3.985,7,7,,Walsh 2000,Walsh 2000 (SDSNH 3784),,,US
Antilocapra americana,12.5,6,1,1,,Schultz 1938,Schultz 1938 (McKittrick),,,
Apataelurus kayi,12,5,1,1,,Alroy 2000,Scott 1937 (type: Uinta B),,,US
Apatemys bellulus,1.655,1.213333333,6,6,,Gazin 1958,Gazin 1958a (Marsh 1872),,,
Apatemys bellus,1.905,1.3075,4,4,,Gazin 1958,Gazin 1958a,,,
Apatemys chardini,1.6,1.1,2,2,,Gingerich 1982,Gingerich 1982e (greater Bighorn Basin),,,
Apatemys downsi,2.5,1.8,1,1,,Gazin 1958,Gazin 1958a,,,
Apatemys hendryi,1.6,0.995,2,2,,Robinson 1966,Robinson 1966b (Badwater Locality 5A),,,US
Apatemys uintensis,2,1.35,2,2,,West 1973,"West 1973c (apparent value for ""California"" specimen, assuming measurements of type are repeated from Gazin)",,,
Apatosciuravus bifax,1.5025,1.475,3,3,,Korth 1984,"Korth 1984 (Willwood: includes ""Microparamys sp. A"" specimen of Wood 1962)",,,
Apatosciuravus jacobsi,1.412,1.259,15,15,,Flanagan 1986,Flanagan 1986,,,
Apheliscus chydaeus,2.26,1.64,34,34,,Gingerich 1994,Gingerich 1995a (Clark's Fork Basin: includes type),,,US
Apheliscus insidiosus,2.4,1.81,8,8,,Gingerich 1994,Gingerich 1995a (Clark's Fork Basin),,,
Apheliscus nitidus,2.58,1.95,4,4,,Gingerich 1994,Gingerich 1995a (Clark's Fork Basin: updates Rose 1981),,,
Apheliscus wapitiensis,1.93,1.33,3,3,,Gingerich 1994,Gingerich 1995a (Clark's Fork Basin),,,
Aphelops malacorhinus,42.2,41.6,25,25,,MacFadden and Hulbert 1990,MacFadden and Hulbert 1990 (Love Bone Bed),,,US
Aphelops megalodus,37,29,1,1,,Prothero and Manning 1987,Prothero and Manning 1987 (type),,,
Aphelops mutilus,54,35.6,8,8,,Tanner 1967,Tanner 1967 (Cambridge),,,
Aphronorus fraudator,2.9075,2.17,12,12,,Simpson 1937,Simpson 1937a,,,
Aphronorus orieli,3.9,3.05,4,4,,Gazin 1969,,,,US
Aphronorus ratatoski,3.306666667,2.503333333,3,3,,Winterfeld 1982,Winterfeld 1982 (type: Rock Springs Uplift UW V-77010),,,
Aphronorus simpsoni,3,2.1,1,1,,Gazin 1938,Gazin 1938 (type: Dragon),,,US
Apletotomeus crassus,1.02,0.97,2,2,,Reeder 1960,Reeder 1960b (type: Bill Grimm Ranch),,,
Aplodontia rufa,3.7,3.7,1,1,,Gazin 1932,Gazin 1932 (Recent),,,
Apocricetus plinii,2.2,1.4,1,1,,Freudenthal et al. 1991,,,,
Apternodus gregoryi,2,2.6,1,1,,Schlaikjer 1933,Schlaikjer 1933 (type: Apternodus gregoryi Locality),,,US
Apternodus iliffensis,2.19,1.95,1,1,,Galbreath 1953,Galbreath 1953 (type: Cedar Creek),,,
Aquiladelphis minor,2.9,1.6,1,1,,Rigby and Wolberg 1987,Rigby and Wolberg 1987 (Fossil Forest Quarry 1),,,US
Arapahovius advena,1.81665,1.54165,4,4,,Rose 1995,Rose 1995 (USGS D-1762),,,US
Archaeocyon leptodus,9.34,3.85,47,47,,Wang et al. 1999,Wang et al. 1999 (includes type),,,
Archaeocyon pavidus,7.36,3.13,14,14,,Wang et al. 1999,Wang et al. 1999 (includes type: remeasured from Wang 1994),,,
Archaeohippus blackbergi,10.59,7.75,46,46,,Forsten 1975,Forsten 1975 (Garvin Gully),,,US
Archaeohippus mannulus,10,8,1,1,,O'Sullivan 2003,O'Sullivan 2003 (type: Curlew Creek),,,US
Archaeohippus minimus,11.425,9,3,3,,Storer 1975,Storer 1975b,,,
Archaeohippus mourningi,12.2375,9.0875,4,4,,Bode 1934,Bode 1933 (North Coalinga),,,US
Archaeohippus penultimus,14.4,9.3,1,1,,Bode 1934,"Bode 1933 (Aphelops Draw, Sheep Creek)",,,
Archaeohippus stenolophus,13.6,9.1,2,2,,Russell 1975,Russell 1975 (Cypress Hills),,,
Archaeolagus acaricolus,2.15,2.28335,4,4,,Dawson 1958,Dawson 1958,,,
Archaeolagus emeraldensis,2.9,2.9,1,1,,Barnosky 1986,Barnosky 1986b (Emerald Lake SR),,,
Archaeolagus macrocephalus,2.74,3.05,3,3,,Storer 2002,Storer 2002b (Kealey Springs: m12),,,CA
Archaeolagus primigenius,2.668333333,2.683333333,4,4,,Green 1972,possibly an m2,,,US
Archaeotherium (Pelonax) lemleyi,33.8,27.6,1,1,,Macdonald 1951,Macdonald 1951 (type),,,
Archaeotherium mortoni,21.5,13.875,3,3,,Sinclair 1922,Sinclair 1922a (Hat Creek),,,
Archaeotherium trippensis,47.5,35.6,1,1,,Skinner et al. 1968,Skinner et al. 1968 (type: Wewela),,,US
Arcticanodon dawsonae,1.55,1,1,1,,Rose et al. 2004,"alveolus; anterior AP x ML = 0.65 x 0.95, posterior AP x ML = 0.85 x 1.0",,,CA
Arctocyon acrogenius,12.2,9.7,1,1,,Gazin 1956,Gazin 1956a,,,
Arctocyon corrugatus,9.45,7.185,4,4,,Simpson 1937,Simpson 1937a,,,
Arctocyon nexus,9.5,7.8,1,1,,Gazin 1956,Gazin 1956 (Buckman Hollow: type),,,US
Arctodontomys nuptus,3.46,2.52,5,5,,Gunnell 1985,Gunnell 1985 (Clark's Fork Basin),,,
Arctodontomys simplicidens,3.136666667,2.353333333,7,7,,Gunnell 1985,Gunnell 1985 (Clark's Fork Basin),,,
Arctodontomys wilsoni,2.804,2.014,50,50,,Gunnell 1985,Gunnell 1985 (Clark's Fork Basin),,,US
Arctodus pristinus,27.2875,14.65,5,5,,Dalquest and Mooser 1980,,,,MX
Arctodus simus,32.672,17.036,6,6,,Schultz 1938,Schultz 1938 (McKittrick),,,
Arctomyoides arctomyoides,4,4.1,1,1,,Black 1963,Black 1963b,,,
Arctomyoides oregonensis,2.9,3.2,1,1,,Black 1963,Black 1963b,,,
Arctomys vetus,3.6,3.2,1,1,,Gordon and Czaplewski 2000,"Gordon and Czaplewski 2000 (type, remeasured from Black 1963b)",,,
Arctonasua eurybates,14.85,11.1,2,2,,Baskin 1982,Baskin 1982,,,
Arctonasua floridana,14.9,9.25,2,2,,Baskin 1982,Baskin 1982,,,
Arctonasua gracilis,12.15,7.1,2,2,,Baskin 1982,Baskin 1982,,,
Arctonasua minima,11.2,6.8,1,1,,Baskin 1982,Baskin 1982,,,
Arctostylops steini,3.916666667,2.016666667,4,4,,Cifelli et al. 1989,"Cifelli et al. 1989 (type: remeasured, see also Matthew 1915, Rose 1981)",,,
Arctotherium wingei,216.5,135,2,2,,Soibelzon and Rincón 2007,,,,VE
Ardynomys occidentalis,2.3,2.55,1,1,,Wood 1974,Wood 1974 (TM 40504),,,
Arenahippus aemulor,8.1,5.6,1,1,,Gingerich 1991,Gingerich 1991 (type: SC-34),,,US
Arfia junnei,5.6,3.2,1,1,,Gingerich 1989,Gingerich 1989,,,
Arfia opisthotoma,7.55,4.61,15,15,,Gingerich and Deutsch 1989,Gingerich and Deutsch 1989 (Clarks Fork Basin),,,
Arfia shoshoniensis,7.32,4.53,24,24,,Gingerich and Deutsch 1989,Gingerich and Deutsch 1989 (Clarks Fork Basin),,,
Arfia zele,6.54,3.87,5,5,,Gingerich and Deutsch 1989,Gingerich and Deutsch 1989 (Clarks Fork Basin: includes type),,,
Arretotherium acridens,19.6,12.5,1,1,,Albright 1999,Albright 1999a (Toledo Bend),,,US
Arretotherium fricki,19,10.9,2,2,,Macdonald and Martin 1987,Macdonald and J Martin 1987 (Flint Hill North: repeated by Albright 1999a),,,US
Artigasia magna,19.6,22.4,1,1,,Francis and Mones 1966,,,,
Artimonius australis,2.45,2.225,2,2,,Bown and Rose 1987,Bown and Rose 1987 (type),,,
Artimonius nocerai,2.435,1.655,4,4,,Bown and Rose 1987,Bown and Rose 1987 (type),,,
Artimonius witteri,2.645,1.655,2,2,,Muldoon and Gunnell 2002,Muldoon and Gunnell 2002 (UM SP-64),,,
Arundelconodon hottoni,2.89,1.03,1,1,,Cifelli et al. 1999,Cifelli et al. 1999 (type: Cherokee-Sanford Brick Clay Pit),,,US
Arvicolinae,3.39,1.28,1,1,,Zakrzewski 1972,Zakrzewski 1972 (Anza-Borrego Desert),,,US
Astroconodon denisoni,2.44,0.59,1,1,,Patterson 1951,Patterson 1951 (type: Greenwood Canyon),,,US
Astrohippus stockii,18.8,10.8,4,4,,Alroy 2000,Dalquest and Mooser 1980 (Rancho El Ocote),,,
Atopomys texensis,1.71,0.99875,55,55,,Zakrzewski 1975,Zakrzewski 1975 (Trout Cave and Cumberland Cave: includes type; repeated by Winkler and Grady 1990),,,
Aulolithomys bounites,1.8225,1.84,3,3,,Wood 1974,Wood 1974 (Porvenir),,,
Aulolithomys vexilliames,1.22,1.28,15,15,,Korth and Emry 1997,Korth and Emry 1997b (Flagstaff Rim: includes type),,,US
Auroralestes simpsoni,1.49,0.985,2,2,,Bown and Schankler 1982,Bown and Schankler 1982 (type: see Bown 1979),,,
Australocamelus orarius,17.5,9.6,1,1,,Patton 1969,"Patton 1969 (type, Garvin Gully)",,,US
Auxontodon pattersoni,6.1,4.4,1,1,,Gazin 1958,Gazin 1958b (type: Myton Pocket),,,US
Avitotherium utahensis,2.01,1.25,1,1,,Cifelli 1990,Cifelli 1990d,,,
Avunculus didelphodonti,2.615,1.645,2,2,,Van Valen 1966,Van Valen 1966 (type: Gidley Quarry),,,US
Aycrossia lovei,2.4,2.15,1,1,,Bown and Rose 1987,Bown and Rose 1987 (Bown 1982),,,
Azygonyx ancylion,8.5,7.7,1,1,,Gingerich and Gunnell 1979,Gingerich and Gunnell 1979 (type: SC-176),,,US
Azygonyx grangeri,10.2,8.925,4,4,,Gingerich and Gunnell 1979,Gingerich and Gunnell 1979 (type: remeasured from Simpson 1937c),,,
Azygonyx xenicus,7.45,6.5,2,2,,Gingerich and Gunnell 1979,Gingerich and Gunnell 1979 (type: SC-74),,,US
Baioconodon denverensis,6.627,5.3925,2,2,,Johnston and Fox 1984,"Johnston and Fox 1984 (Rav W-1: fragmentary specimen, measurements not reliable)",,,CA
Baioconodon engdahli,4.43,3.68,1,1,,Archibald 1982,Archibald 1982 (UCMP V-74110),,,US
Baioconodon nordicus,5.196666667,4.166666667,3,3,,Hunter 1997,Hunter et al. 1997 (Hiatt South),,,US
Baiomys rexroadi,1.23,0.77,4,4,,Alroy 2000,Martin et al. 2002 (Deer Park B),,,
Baiotomeus douglassi,3.8,1.75,2,2,,Krause 1987,"Krause 1987a (includes type of Simpson 1937a, and probably ""modal"" value Neoplagiaulax douglassi specimen of Sloan 1987)",,,
Baiotomeus rhothonion,1.75,0.85,2,2,,Scott 2003,Scott 2003 (Who Nose),,,CA
Balantiomys nebraskensis,1.2,1.44,1,1,,Korth 1997,Korth 1997a (type: Sheridan County),,,
Banderomys leanzai,3.65,3.25,2,2,,Kramarz 2005,,,,
Barbourofelis fricki,37.475,13.5,2,2,,Schultz et al. 1970,"Schultz et al. 1970 (type, Cambridge: see also Macdonald and Macdonald 1976)",,,US
Barbourofelis loveorum,32.1,12.74,25,25,,Baskin 1981,Baskin 1981,,,
Barbourofelis morrisi,26.5,10,1,1,,Schultz et al. 1970,Schultz et al. 1970 (type: Leptarctus Quarry),,,US
Barbourofelis whitfordi,24.6,10.1,2,2,,Schultz et al. 1970,Schultz et al. 1970 (type: Quinn Canyon),,,US
Barbouromeryx trigonocorneus,9.1,6.2,1,1,,Emry and Eshelman 1998,Emry and Eshelman 1998 (Pollack Farm Site: m12),,,US
Barylambda faberi,25.06,19.46,5,5,,Gingerich and Childress 1983,Gingerich and Childress 1983 (Plateau Valley: apparently includes type),,,
Basirepomys pliocenicus,2.25,1.45,2,2,,Wilson 1937,Wilson 1937a (type: Kern River),,,US
Basirepomys robertsi,2.150833333,1.415833333,6,6,,Korth and De Blieux 2010,,,,US
Bassaricyonoides phyllismillerae,8.1,4.5,1,1,,Baskin 2003,Baskin 2003 (type: Miller Locality),,,US
Bassariscus antiquus,7.222233333,3.583333333,8,8,,Hall 1930,Hall 1930a,,,
Bassariscus astutus,7.45,3.85,2,2,,Merriam 1916,Merriam 1916a (Recent),,,
Bassariscus casei,6.783333333,3.333333333,4,4,,Bever 2003,Bever 2003 (type: Rexroad 3; remeasured from Hibbard 1952d),,,
Bassariscus parvus,6.8875,3.3,5,5,,Gregory and Downs 1951,"Gregory and Downs 1951 (type, Cedar Mountain: see Merriam 1916a, Hall 1927)",,,
Bathygenys alpha,5.15,4.25,2,2,,Thorpe 1937,Thorpe 1937,,,
Bathygenys reevesi,5.59,4.29,36,36,,Wilson 1971,Wilson 1971a (Reeves Bonebed: ioncludes type),,,US
Batodon tenuis,1.18,0.7,1,1,,Storer 1991,Storer 1991 (Gryde),,,CA
Batodonoides powayensis,1.106,0.636,5,5,,Novacek 1976,Novacek 1976,,,
Batodonoides vanhouteni,0.75,0.54,1,1,,Bloch et al. 1998,Bloch et al. 1998 (Dorsey Quarry),,,US
Beckiasorex hibbardi,1.2,0.9,1,1,,Dalquest 1972,"Dalquest 1972 (type, Beck Ranch: estimated from figure)",,,US
Bensonomys hershkovitzi,1.575,0.98,2,2,,Martin et al. 2002,Martin et al. 2002 (type: Pipe Creek Sinkhole),,,US
Bensonomys lindsayi,1.37,0.95,18,18,,Kelly 2007,,,,US
Bessoecetor septentrionalis,2.36434,1.69366,11,11,,Simpson 1937,Simpson 1937a (Gidley and Silberling Quarries),,,
Bison antiquus,33.1,16.7,1,1,,Morgan and Rinehart 2007,,,,US
Bisonalveus browni,2.49,1.75,5,5,,Gazin 1956,Gazin 1956a,,,
Bisonalveus holtzmani,3.1,2.4,1,1,,Gingerich 1983,Gingerich 1983c (type: Cedar Point Quarry),,,US
