Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Oregonomys magnus,1.18,1.39,2,2,,Alroy 2000,Martin 1984 (Hagerman),,,
Oregonomys pebblespringsensis,1.2966625,1.485,79,79,,Alroy 2000,Martin 1984 (UWBM C0123),,,
Oregonomys sargenti,1.2125,1.4625,3,3,,Alroy 2000,Martin 1984 (McKay Reservoir: new UWBM specimens),,,
Oreodontoides curtus,9.7,6.2,1,1,,Thorpe 1937,Thorpe 1937,,,
Oreodontoides oregonensis,9.9,7.6,1,1,,Thorpe 1937,Thorpe 1937,,,
Oreolagus colteri,1.8,1.7,1,1,,Barnosky 1986,Barnosky 1986b (North Pilgrim 2: p4/m1),,,US
Oreolagus nebrascensis,1.915,1.9075,3,3,,Galbreath 1953,Galbreath 1953,,,
Oreolagus wallacei,1.9,1.8,1,1,,Dawson 1965,Dawson 1965 (type: Beatty Buttes),,,US
Oreolagus wilsoni,1.9625,1.8875,3,3,,Dawson 1965,Dawson 1965 (type: Martin Canyon Quarry A),,,US
Oreotalpa florissantensis,1.54,1.08,1,1,,Lloyd and Eberle 2008,,,,US
Orohippus major,9.5,6.8,1,1,,Kitts 1957,"Kitts 1957b (AMNH referred, Henry's Fork: revised from Granger 1908)",,,
Orohippus progressus,6.4,4.7,2,2,,Kitts 1957,"Kitts 1957b (Twin Buttes, referred)",,,
Orohippus pumilus,7.625,5.15,4,4,,Granger 1908,Granger 1908 (type),,,
Orohippus sylvaticus,7.2,5.14,8,8,,Kitts 1957,"Kitts 1957b: (includes type and type of ""Orotherium uintanum"": see also Granger 1908)",,,
Oromeryx plicatus,7,4.7,1,1,,Gazin 1955,Gazin 1955 (White River: repeated by Wilson 1974),,,US
Oropyctis pediasius,2.35,2.2,1,1,,Korth 1989,Korth 1989c,,,
Osbornodon fricki,27.88,11.69,16,16,,Wang 1994,Wang 1994,,,
Osbornodon iamonensis,19.93,8.36,11,11,,Wang 1994,Wang 1994 (see also Simpson 1932),,,
Osbornodon renjiei,12.33,5.75,3,3,,Wang 1994,Wang 1994,,,
Osbornodon scitulus,18.2333,8.1667,6,6,,Wang 2003,Wang 2003 (Dunlap Camel Quarry),,,US
Osbornodon sesnoni,14.97,6.53,3,3,,Wang 1994,Wang 1994 (includes type remeasured from Macdonald 1967a),,,
Otarocyon cooki,6.51,3.15,11,11,,Wang et al. 1999,Wang et al. 1999 (includes type),,,
Otarocyon macdonaldi,6.3,2.8,1,1,,Wang et al. 1999,Wang et al. 1999 (type),,,
Otospermophilus beecheyi,2.3,3.1,1,1,,Gazin 1930,Gazin 1930 (Recent),,,
Otospermophilus variegatus,2.45,3.2,1,1,,Czaplewski et al. 1999,Czaplewski et al. 1999 (Papago Springs Cave),,,US
Ottoceros peacevalleyensis,9.15,4.85,2,2,,Miller and Downs 1974,Miller and Downs 1974 (LACM 1092),,,US
Ourayia hopsoni,3.73,3.26,2,2,,Robinson 1968,Robinson 1968a (type),,,
Ourayia uintensis,4.233333333,3.333333333,4,4,,Gazin 1958,"Gazin 1958a (type, Osborn 1895; see also Simons 1961)",,,
Ovis canadensis,13.25,9.75,2,2,,Alroy 2000,Stokes and Condie 1961,,,
Oxetocyon cuspidatus,7.63,3.47,3,3,,Wang et al. 1999,Wang et al. 1999,,,
Oxyacodon agapetillus,2.9,2.2,6,6,,Alroy 2000,Archibald et al. 1983,,,
Oxyacodon apiculatus,4.15,3.15,21,21,,Alroy 2000,Archibald et al. 1983 (San Juan Basin),,,
Oxyacodon ferronensis,3.3,2.3,2,2,,Alroy 2000,Archibald et al. 1983,,,
Oxyacodon priscilla,3.6,2.7,25,25,,Alroy 2000,Archibald et al. 1983,,,
Oxyaena forcipata,16,9.216675,11,11,,Guthrie 1967,Guthrie 1967b (Lysite),,,US
Oxyaena gulo,13.2,7.4,1,1,,Gunnell and Gingerich 1991,Gunnell and Gingerich 1991 (YM-90c),,,
Oxyaena intermedia,14.925,8.7625,5,5,,Kihm 1984,"Kihm 1984 (""O. forcipata"": Piceance Creek Basin)",,,
Oxyclaenus corax,4.85,3.8,1,1,,Johnston and Fox 1984,Johnston and Fox 1984 (Rav W-1),,,CA
Oxyclaenus cuspidatus,5.3,4,1,1,,Matthew 1937,Matthew 1937,,,
Oxyclaenus pugnax,7.1,5.65,3,3,,Simpson 1937,Simpson 1937a (type: Locality 78; updated from Simpson 1935d),,,
Oxydactylus campestris,14.2,11.8,1,1,,Dingus 1990,Dingus 1990,,,
Oxydactylus longipes,18,10,1,1,,Dougherty 1940,Dougherty 1940a (repeated from Peterson 1904),,,
Oxyprimus erikseni,3.185,1.68,2,2,,Archibald 1982,Archibald 1982 (UCMP V-74111),,,US
Pachyaena gigantea,24.5,16.7,1,1,,Alroy 2000,O'Leary and Rose 1995 (YPM 149),,,
Pachyaena gracilis,19.8,8.8,1,1,,Matthew and Granger 1915,Matthew 1915a (type),,,
Paciculus montanus,2.21665,1.525,13,13,,Macdonald 1972,Macdonald 1972,,,
Paciculus nebraskensis,2.263333333,1.566666667,20,20,,Alker 1969,Alker 1969,,,
Paciculus woodi,1.65,1.3225,3,3,,Macdonald 1963,Macdonald 1963,,,
Paedotherium bonaerense,4.52,2.65,110,110,,Cerdeno and Bond 1998,,,,
Paedotherium minor,4.11,2.32,96,96,,Cerdeno and Bond 1998,,,,
Paedotherium typicum,4.26,2.45,74,74,,Cerdeno and Bond 1998,,,,
Paenemarmota barbouri,7.05,7.77,6,6,,Repenning 1962,Repenning 1962 (type: Rexroad; remeasured from Hibbard and Schultz 1948),,,US
Paenemarmota mexicana,6.766666667,7.4,4,4,,Repenning 1962,"Repenning 1962 (type: ""P. barbouri""; Yepomera; remeasured from Wilson 1949e)",,,MX
Paenemarmota sawrockensis,6.112233333,6.3189,5,5,,Hibbard 1964,"Hibbard 1964c (type, Saw Rock Canyon: see also Nelson and Miller 1990)",,,US
Pakicetus attocki,22,7,1,1,,Koretsky 2001,,,,PK
Pakicetus inachus,NA,7.9,NA,1,,NA,NA,,,NA
Palaearctomys montanus,3.3,3.8,1,1,,Black 1963,Black 1963b,,,
Palaechthon alticuspis,2.03,1.57,9,9,,Gunnell 1989,Gunnell 1989 (Gidley Quarry + Shotgun: see also Simpson 1937a),,,
Palaechthon woodi,1.75,1.3,2,2,,Gazin 1971,Gazin 1971 (see also Gunnell 1989),,,
Palaeictops bridgeri,3.225,2.3375,3,3,,Simpson 1959,Simpson 1959c (type: Tabernacle Butte Locality 6),,,US
Palaeictops multicuspis,3,2.5,1,1,,Guthrie 1971,Guthrie 1971 (type),,,
Palaeoctodon simplicidens,2.2,2,2,2,,Montalvo and Casadio 1988,,,,AR
Palaeogale dorothiae,4.825,2.1,3,3,,Macdonald 1963,Macdonald 1963,,,
Palaeogale minuta,3.99,1.35,6,6,,Hayes 2000,Hayes 2000 (Brooksville 2),,,US
Palaeogale sectoria,5.9,2.3,1,1,,Matthew 1903,Matthew 1903a,,,
Palaeolagus burkei,1.838,1.743,4,4,,Setoguchi 1978,Setoguchi 1978 (Cedar Ridge),,,US
Palaeolagus hemirhizis,2.25,2.34,11,11,,Alroy 2000,Korth and Hoganson 1988,,,
Palaeolagus hypsodus,2.2,2.2333,3,3,,Dawson 1958,Dawson 1958,,,
Palaeolagus philoi,2.5,2.5333,3,3,,Dawson 1958,Dawson 1958,,,
Palaeolagus primus,2.2,2.2,4,4,,Emry and Gawne 1986,Emry and Gawne 1986 (Dry Hole Quarry),,,US
Palaeolagus temnodon,2.35,2.375,11,11,,Russell 1972,Russell 1972 (Calf Creek),,,CA
Palaeolama mirifica,19.9998,14.80146667,18,18,,Webb and Stehli 1995,Webb and Stehli 1995,,,
Palaeonictis occidentalis,13.801675,8.556675,14,14,,Alroy 2000,"Rose 1981 (Wasatchian, AMNH and PU)",,,
Palaeonictis peloria,16.45,9.615,2,2,,Chester et al. 2010,replaces measurements of Gunnell and Gingerich 1991 and Rose 1981,,,US
Palaeonictis wingi,12.195,7.255,1,1,,Chester et al. 2010,,,,US
Palaeoryctes cruoris,2.42,1.8,17,17,,Gunnell 1994,Gunnell 1994,,,
Palaeoryctes puercensis,1.6,1.25,1,1,,Van Valen 1966,Van Valen 1966 (type: Torrejon),,,
