Accepted.Name;mean.m1.length;mean.m1.width;overall.n.sampled.m1.length;overall.n.sampled.m1.width;measured.m1;ref;notes;Uncertain;alt.body.mass;continent
Anthracotherium pangan;22.30;15.98;8;8;;"Soe, Aung Naing. ""A new study of the anthracotheres (Mammalia, Artiodactyla) from Pondaung Formation, Myanmar: systematics implications."" Palaeovertebrata 36.1–4 (2008): 89-157.";;;;
Aprotodon smithwoodwardi;;;;;;;paper not found;;;
Aralosorex kalini;;;;;to measure;"Lopatin, A. V. ""New early miocene shrews (Soricidae, mammalia) from Kazakhstan."" (2004).";measure from picture;;;
Arboroharamiya allinhopsoni;;;;;to measure;"Han, Gang, et al. ""A Jurassic gliding euharamiyidan mammal with an ear of five auditory bones."" Nature 551.7681 (2017): 451-456.";measure from picture;;;
Archaeonycteris storchi;1.50;1.95;1;1;;"Smith, Thierry, et al. ""High bat (Chiroptera) diversity in the Early Eocene of India."" Naturwissenschaften 94 (2007): 1003-1009.";;;;
Archaeoryctes notialis;;;;;;;paper not found;;;
Archaeotragulus krabiensis;7.71;7.26;3;3;;"Métais, Grégoire, et al. ""New remains of primitive ruminants from Thailand: evidence of the early evolution of the Ruminantia in Asia."" Zoologica Scripta 30.4 (2001): 231-248.";;;;
Argyromys aralensis;2.30;1.67;1;1;;"López-Guerrero, Paloma, et al. ""A new species of Argyromys (Rodentia, Mammalia) from the Oligocene of the Valley of Lakes (Mongolia): Its importance for palaeobiogeographical homogeneity across Mongolia, China and Kazakhstan."" PloS one 12.3 (2017): e0172733.";;;;
Arsinoitherium zitteli;;;;;;;m1 not found;;;
Artiocetus clavis;;;;;;;m1 not found;;;
Aseanpithecus myanmarensis;;;;;;"Jaeger, Jean-Jacques, et al. ""New Eocene primate from Myanmar shares dental characters with African Eocene crown anthropoids."" Nature Communications 10.1 (2019): 3531.";m1 not found;;;
Ashokia antiqua;;;;;;"Bajpai, Sunil, et al. ""A new middle Eocene sirenian (Mammalia, Protosirenidae) from India."" Neues Jahrbuch fur Geologie und Palaontologie-Abhandlungen 252.3 (2009): 257-267.";m1 not found;;;
Ashoroa laticosta;;;;;;;paper not availble, only citation found;;;
Asiabradypus incompositus;;;;;;;paper not availble, only citation found;;;
Asiadapis cambayensis;2.85;3.80;1;1;;"Rose, Kenneth D., et al. ""A new adapoid primate from the early Eocene of India."" (2007).";;;;
Asiadapis tapiensis;;;;;;;specimen not found;;;
Asiadidelphis akbarbugtii;;;;;;;m1 not found;;;
Asianeomys yanshini;;;;;;;specimen not found;;;
Asiaparamys shevyrevae;;;;;;;paper not availble on google scholar;;;
Asiohomacodon myanmarensis;7.0;8.3;1;1;;"Tsubamoto, Takehisa, et al. ""Reevaluation of some ungulate mammals from the Eocene Pondaung Formation, Myanmar."" Paleontological Research 7.3 (2003): 219-243.";;;;
Asiostylops spanios;;;;;;;paper not availble on google scholar;;;
