Accepted.Name;mean.m1.length;mean.m1.width;overall.n.sampled.m1.length;overall.n.sampled.m1.width;measured.m1;ref;notes;Uncertain;alt.body.mass;continent
Eotheroides waghapadarensis;;;;;;;paper not availble;;;
Eotitanops dayi;;;;;;;paper not availble;;;
Eotitanops pakistanensis;;;;;;;M1 found not m1;;;
Eoungulatum kudukensis;;;;;;;paper not availble;;;
Epiaceratherium magnum;;;;;;;paper not found;;;
Epiaceratherium naduongense;;;;;;;m1 not found;;;
Ergilia kazachstanica;;;;;;;paper not found;;;
Erihippus tingae;7.72;8.19;1;1;;"Bai, Bin, Yuan-Qing Wang, and Jin Meng. ""The divergence and dispersal of early perissodactyls as evidenced by early Eocene equids from Asia."" Communications Biology 1.1 (2018): 115.";;;;
Erythrobaatar ganensis;;;;;to measure;"Jin, Xingsheng, et al. ""A new multituberculate from the latest Cretaceous of central China and its implications for multituberculate tooth homologies and occlusion."" Journal of Mammalian Evolution 30.1 (2023): 1-20.";measure from picture;;;
Eucricetodon (Atavocricetodon) kurthi;;;;;;;specimen not found;;;
Eucricetodon dubius;;;;;;;specimen not found;;;
Eudinoceras crassum;;;;;;;paper not availble;;;
Eumyarion tremulus;1.7;1.1;18;18;;"Lopatin, A. V. ""The stratigraphy and small mammals from the Aral Formation, the Altynshokysu Locality, northern Aral area."" (1996).";;;;
Eumyarion weinfurteri;;;;;;;specimen not found;;;
Eumysodon spurius;2.5;1.8;1;1;;"Lopatin, A. V. ""Early Miocene small mammals from the North Aral region (Kazakhstan) with special reference to their biostratigraphic significance."" (2004).";;;;
Exallerix efialtes;5.5;2.6;1;1;;"Lopatin, A. V. ""The stratigraphy and small mammals from the Aral Formation, the Altynshokysu Locality, northern Aral area."" (1996).";;;;
Fallomus ginsburgi;1.82;1.58;1;1;;"Marivaux, Laurent, and Jean-Loup Welcomme. ""New diatomyid and baluchimyine rodents from the Oligocene of Pakistan (Bugti Hills, Balochistan): systematic and paleobiogeographic implications."" Journal of Vertebrate Paleontology 23.2 (2003): 420-434.";;;;
Fallomus ladakhensis;;;;;;;m3 found not m1;;;
Fallomus quraishyi;2.25;1.93;1;1;;"Marivaux, Laurent, and Jean-Loup Welcomme. ""New diatomyid and baluchimyine rodents from the Oligocene of Pakistan (Bugti Hills, Balochistan): systematic and paleobiogeographic implications."" Journal of Vertebrate Paleontology 23.2 (2003): 420-434.";;;;
Fallomus razae;1.63;1.43;1;1;;"Marivaux, Laurent, and Jean-Loup Welcomme. ""New diatomyid and baluchimyine rodents from the Oligocene of Pakistan (Bugti Hills, Balochistan): systematic and paleobiogeographic implications."" Journal of Vertebrate Paleontology 23.2 (2003): 420-434.";;;;
Ferecetotherium kelloggi;;;;;;;paper not found;;;
Ferganodon naryensis;;;;;;;m1 not found;;;
Franconictis vireti;;;;;;;specimen not found;;;
Frugivastodon cristatus;1.92;1.3;1;1;;"Bajpai, Sunil, et al. ""Early Eocene land mammals from the Vastan lignite mine, district Surat (Gujarat), Western India."" Journal of the Palaeontological Society of India 50.1 (2005): 101-113.";;;;
Galatiadelphys minor;;;;;;"Métais, Grégoire, et al. ""Eocene metatherians from Anatolia illuminate the assembly of an island fauna during Deep Time."" PloS one 13.11 (2018): e0206181.";m2 found not m1;;;
Galerix saratji;2.81;1.82;18;18;;"van den Hoek Ostende, Lars. ""Insectivore faunas from the Lower Miocene Anatolia. Part 1: Erinaceidae."" Proceedings of the Koninklijke Academie van Wetenschappen 95.4 (1992): 437-467.";;;;
Gandakasia potens;;;;;;;paper not availble;;;
Gandheralophus minor;5.74;3.74;8;7;;"Missiaen, Pieter, and Philip D. Gingerich. ""New early Eocene tapiromorph perissodactyls from the Ghazij Formation of Pakistan, with implications for mammalian biochronology in Asia."" Acta Palaeontologica Polonica 57.1 (2012): 21-34.";;;;
Gandheralophus robustus;6.85;4.44;3;3;;"Missiaen, Pieter, and Philip D. Gingerich. ""New early Eocene tapiromorph perissodactyls from the Ghazij Formation of Pakistan, with implications for mammalian biochronology in Asia."" Acta Palaeontologica Polonica 57.1 (2012): 21-34.";;;;
Ganlea megacanina;4.25;3.85;2;2;;"Beard, K. Christopher, et al. ""A new primate from the Eocene Pondaung Formation of Myanmar and the monophyly of Burmese amphipithecids."" Proceedings of the Royal Society B: Biological Sciences 276.1671 (2009): 3285-3294.";;;;
Ganungulatum xincunliense;3.5;5.5;1;1;;"Su-Yin, T. I. N. G., et al. ""Ganungulatum xincunliense, an artiodactyl-like mammal (Ungulata, Mammalia) from the Paleocene, Chijiang Basin, Jiangxi, China."" Vertebrata PalAsiatica 45.4 (2007): 278.";;;;
Gatanthropus micros;;;;;to measure;"Ni, Xijun, et al. ""Oligocene primates from China reveal divergence between African and Asian primate evolution."" Science 352.6286 (2016): 673-677.";measure from picture;;;
Gaviacetus razai;;;;;;"vGingerich, Philip D., Muhammad Arif, and William C. Clyde. ""New Archaeocetes (Mammalia, Cetacea) from the Middle Eocene Domanda Formation of Sulaiman Range, Punjab (Pakistan)."" (1995).";lower molar not found;;;
Geitonomys bouvites;;;;;;;paper not found;;;
Geniokeryx nanus;;;;;;;paper not accessible;;;
Geniokeryx thailandicus;;;;;;;paper not availble;;;
Ghazijhippus talibhasani;;;;;;"Missiaen, Pieter, and Philip D. Gingerich. ""New basal Perissodactyla (Mammalia) from the lower Eocene Ghazij formation of Pakistan."" (2014).";m2 and m3 found not m1;;;
Glis guerbuezi;;;;;;;paper not availble;;;
Gobiconodon hopsoni;;;;;;"Rougier, Guillermo W., et al. ""Gobiconodonts from the Early Cretaceous of Oshih (Ashile), Mongolia."" American Museum Novitates 2001.3348 (2001): 1-30.";m1 not found;;;
Gobiconodon luoianus;3.0;2.8;1;1;;"Yuan, Chongxi, et al. ""A new species of Gobiconodon (Mammalia) from western Liaoning, China and its implication for the dental formula of Gobiconodon."" Acta Geologica Sinica?English Edition 83.2 (2009): 207-211.";;;;
Gobiconodon tomidai;;;;;;"Kusuhashi, Nao, et al. ""Two new species of Gobiconodon (Mammalia, Eutriconodonta, Gobiconodontidae) from the Lower Cretaceous Shahai and Fuxin formations, northeastern China."" Historical Biology 28.1-2 (2016): 14-26.";m2 and m3 found not m1;;;
Gobiolagus gromovi;;;;;;;paper not fouund;;;
Gobiolagus hekkeri;2.1;2.0;1;1;;"Lopatin, A. V., and A. O. Averianov. ""Eocene Lagomorpha (Mammalia) of Asia: 2. Strenulagus and Gobiolagus (Strenulagidae)."" Paleontological journal 40 (2006): 198-206.";;;;
Gobiotheriodon infinitus;;;;;;;paper not found;;;
Gobisorex akhmetievi;;;;;;"Lopatin, A. V. ""Early Miocene small mammals from the North Aral region (Kazakhstan) with special reference to their biostratigraphic significance."" (2004).";m1 broken ;;;
Guangxicyon sinoamericanus;20.6;9.2;1;1;;"Zhai, R. E. N. J. I. E., et al. ""An aberrant amphicyonid mammal from the latest Eocene of the Bose Basin, Guangxi, China."" Acta Palaeontologica Polonica 48.2 (2003).";;;;
Guangxilemur singsilai;;;;;;"Marivaux, Laurent, et al. ""Oligocene sivaladapid primate from the Bugti Hills (Balochistan, Pakistan) bridges the gap between Eocene and Miocene adapiform communities in southern Asia."" Journal of Human Evolution 42.4 (2002): 379-388.";not sure if its m1 or m2;uncertain;;
Guangxilemur tongi;;;;;;"Qi, Tao, and K. Christopher Beard. ""Late Eocene sivaladapid primate from Guangxi Zhuang Autonomous Region, People's Republic of China."" Journal of Human Evolution 35.3 (1998): 211-220.";m2 found not m1;;;
Guibaatar castellanus;;;;;;;paper not accessible;;;
Guilestes acares;;;;;;;paper not availble;;;
Gujaratia pakistanensis;;;;;;;paper not accessible;;;
Gumbatomys asifi;;;;;;;m3 found not m1;;;
Hakusanobaatar matsuoi;1.7;1.2;1;1;;"Kusuhashi, Nao. ""Early Cretaceous multituberculate mammals from the Kuwajima formation (Tetori group), central Japan."" Acta Palaeontologica Polonica 53.3 (2008): 379-390.";;;;
Haltictops meilingensis;;;;;;;paper not available;;;
Haltictops mirabilis;;;;;;;paper not available;;;
Hangjinia chowi;;;;;;"Godefroit, Pascal, and Dian-Yong Guo. ""A new amphilestid mammal from the Early Cretaceous of Inner Mongolia (PR China)."" Bull Inst R Sci Nat Belg, Sci Terre 69.Suppl B (1999): 7-16.";not sure if its m1 or m2;;;
Hapalodectes hetangensis;;;;;;;paper not availble;;;
Hapalodectes paradux;;;;;;"Lopatin, A. V. ""A New Species of Hapalodectes (Hapalodectidae, Mesonychia) from the Paleocene of Mongolia."" Doklady Biological Sciences. Vol. 513. No. 1. Moscow: Pleiades Publishing, 2023.";m2 and m3 found not m1;;;
Harpagolestes koreanicus;;;;;;;paper not found;;;
Harpyodus decorus;;;;;;;paper not found;;;
Hassianycteris kumari;;;;;;"Smith, Thierry, et al. ""High bat (Chiroptera) diversity in the Early Eocene of India."" Naturwissenschaften 94 (2007): 1003-1009.";not sure if its m1 or m2;;;
Helaletes mongoliensis;;;;;;;paper not availble;;;
Heosminthus primiveris;;;;;to measure;"Wessels, Wilma, et al. ""Dipodidae (Mammalia, Rodentia) from the Paleogene of south-east Serbia."" Palaeobiodiversity and Palaeoenvironments 100.3 (2020): 841-848.";measure from picture;;;
Higotherium hypsodon;;;;;;"Miyata, Kazunori, and Yukimitsu Tomida. ""A new tillodont from the early Middle Eocene of Japan and its implication to the subfamily Trogosinae (Tillodontia: Mammalia)."" Paleontological Research 2.1 (1998): 53-66.";m2 and m3 found not m1;;;
Hilalia robusta;;;;;;"Maas, Mary C., et al. ""Enigmatic new ungulates from the early middle Eocene of Central Anatolia, Turkey."" Journal of Vertebrate Paleontology 21.3 (2001): 578-590.";lower molar not found;;;
Hilalia saribeya;5.47;3.78;4;5;;"Maas, Mary C., et al. ""Enigmatic new ungulates from the early middle Eocene of Central Anatolia, Turkey."" Journal of Vertebrate Paleontology 21.3 (2001): 578-590.";;;;
Hilalia selanneae;8.06;5.56;3;3;;"Maas, Mary C., et al. ""Enigmatic new ungulates from the early middle Eocene of Central Anatolia, Turkey."" Journal of Vertebrate Paleontology 21.3 (2001): 578-590.";;;;
Hilalia sezerorum;4.7;3.1;2;2;;"Maas, Mary C., et al. ""Enigmatic new ungulates from the early middle Eocene of Central Anatolia, Turkey."" Journal of Vertebrate Paleontology 21.3 (2001): 578-590.";;;;
Himalayacetus subathuensis;;;;;;"Bajpai, Sunil, and Philip D. Gingerich. ""A new Eocene archaeocete (Mammalia, Cetacea) from India and the time of origin of whales."" Proceedings of the National Academy of Sciences 95.26 (1998): 15464-15468.";M2 and M3 found but not m1;;;
Hipposideros omani;;;;;;"Sigé, Bernard, et al. ""Les chiroptères de Taqah (Oligocène inférieur, Sultanat d’Oman). Premier inventaire systématique."" Münchner Geowissenschaftliche Abhandlungen 26 (1994): 35-48.";m1 not found;;;
Hodsahibia azrae;2.74;1.94;1;1;;"Marivaux, Laurent, and Jean-Loup Welcomme. ""New diatomyid and baluchimyine rodents from the Oligocene of Pakistan (Bugti Hills, Balochistan): systematic and paleobiogeographic implications."" Journal of Vertebrate Paleontology 23.2 (2003): 420-434.";not sure if its m1 or m2;uncertain;;
Hodsahibia beamshaiensis;4.48;3.42;1;1;;"Marivaux, Laurent, and Jean-Loup Welcomme. ""New diatomyid and baluchimyine rodents from the Oligocene of Pakistan (Bugti Hills, Balochistan): systematic and paleobiogeographic implications."" Journal of Vertebrate Paleontology 23.2 (2003): 420-434.";not sure if its m1 or m2;uncertain;;
Hodsahibia gracilis;2.11;1.66;1;1;;"Marivaux, Laurent, and Jean-Loup Welcomme. ""New diatomyid and baluchimyine rodents from the Oligocene of Pakistan (Bugti Hills, Balochistan): systematic and paleobiogeographic implications."" Journal of Vertebrate Paleontology 23.2 (2003): 420-434.";;;;
Hodsahibia kayi;;;;;;;paper not available;;;
Hsanotherium parvum;5.4;5.9;1;1;;"Tsubamoto, Takehisa, et al. ""Reevaluation of some ungulate mammals from the Eocene Pondaung Formation, Myanmar."" Paleontological Research 7.3 (2003): 219-243.";;;;
Hsiangolestes youngi;;;;;;;paper not available;;;
Hsiuannania minor;;;;;;;paper not found;;;
Huaiyangale leura;;;;;;;paper not available;;;
Huananius youngi;4.2;4.2;1;1;;"Xue-Shi, H. U. A. N. G., and Z. H. E. N. G. Jia-Jian. ""A new tillodont from the Paleocene of Nanxiong Basin, Guangdong."" Vertebrata PalAsiatica 37.02 (1999): 96.";;;;
Huananothema imparilica;;;;;;;paper not available;;;
Huaxiachoerus guangxiensis;;;;;;"Li-Ping, Liu. ""EOCENE SUOIDS (ARTIODACTYLA, MANMALIA) FROM BOSE AND YONGLE BASINS, CHINA, AND THE CLASIFICATION AND EVOLUTION OF THE PALEOGENE SUOIDS."" Vertebrata PalAsiatica 39.02 (2001): 115.";m2 and m3 found not m1;;;
Hukoutherium ambigum;;;;;;;paper not available;;;
Hunanictis inexpectatus;;;;;;;paper not available;;;
Hydotherium dobsoni;;;;;;;lower molar not found;;;
Hypsamasia seni;;;;;;;paper not available;;;
Hypsilolambda chalingensis;;;;;;;paper not available;;;
Hypsilolambda impensa;;;;;;;paper not available;;;
Hyrachyus lunanensis;;;;;;;paper not available;;;
Hyrachyus minor;;;;;;;paper not available;;;
Iberomeryx parvus;5.45;5.47;4;4;;"Métais, Grégoire, et al. ""Oligocene ruminants from the K?z?l?rmak Formation, Çank?r?-Çorum Basin, Central Anatolia, Turkey."" Palaeontologia Electronica (2016): 19-3.";;;;
Icaronycteris sigei;1.80;2.25;1;1;;"Smith, Thierry, et al. ""High bat (Chiroptera) diversity in the Early Eocene of India."" Naturwissenschaften 94 (2007): 1003-1009.";;;;
Ichthyolestes pinfoldi;;;;;;;paper not available;;;
Ilianodon lunanensis;;;;;;;paper not available;;;
Indobaatar zofiae;;;;;;"Parmar, Varun, Guntupalli VR Prasad, and Deepak Kumar. ""The first multituberculate mammal from India."" Naturwissenschaften 100 (2013): 515-523.";lower molar not found;;;
Indocetus ramani;;;;;;;paper not available;;;
Indoclemensia magnus;;;;;;"Mantilla, Gregory P. Wilson, et al. ""New mammals from the Naskal intertrappean site and the age of India’s earliest eutherians."" Palaeogeography, Palaeoclimatology, Palaeoecology 591 (2022): 110857.";m2 and m3 found not m0;;;
Indoclemensia naskalensis;;;;;;"Mantilla, Gregory P. Wilson, et al. ""New mammals from the Naskal intertrappean site and the age of India’s earliest eutherians."" Palaeogeography, Palaeoclimatology, Palaeoecology 591 (2022): 110857.";m2 found not m0;;;
Indodelphis luoi;1.59;0.71;1;1;;"Bajpai, Sunil, et al. ""First fossil marsupials from India: early Eocene Indodelphis n. gen. and Jaegeria n. gen. from the Vastan Lignite mine, District Surat, Gujarat."" Journal of the Palaeontological Society of India 50.1 (2005): 147-151.";;;;
Indoesthonyx suratensis;8.10;13.15;1;1;;"Smith, Thierry, et al. ""New early Eocene vertebrate assemblage from western India reveals a mixed fauna of European and Gondwana affinities."" Geoscience Frontiers 7.6 (2016): 969-1001.";;;;
Indohyaenodon raoi;4.6;2.6;2;2;;"Bajpai, S., Vivesh V. Kapur, and J. G. M. Thewissen. ""Creodont and condylarth from Cambay Shale (early Eocene,~ 55-54 Ma), Vastan Lignite Mine, Gujarat, western India."" Journal of the Palaeontological Society of India 54.1 (2009): 103-109.";;;;
Indohyus indirae;;;;;;;paper not found;;;
Indolophus guptai;10.4;14.4;2;2;;"Tsubamoto, Takehisa, et al. ""Reevaluation of some ungulate mammals from the Eocene Pondaung Formation, Myanmar."" Paleontological Research 7.3 (2003): 219-243.";;;;
Indomeryx arenae;5.2;5.7;2;2;;"Tsubamoto, Takehisa, et al. ""Reevaluation of some ungulate mammals from the Eocene Pondaung Formation, Myanmar."" Paleontological Research 7.3 (2003): 219-243.";;;;
Indomeryx cotteri;6.24;6.94;5;5;;"Tsubamoto, Takehisa, et al. ""Reevaluation of some ungulate mammals from the Eocene Pondaung Formation, Myanmar."" Paleontological Research 7.3 (2003): 219-243.";;;;
Indonyctia cambayensis;;;;;;;paper not accessible;;;
Indotriconodon magnus;;;;;;;paper not accessible;;;
Indusomys kaliae;;;;;;;M2 found not m1;;;
Iniopsis caucasica;;;;;;;paper not found;;;
Interogale datangensis;;;;;;;paper not available;;;
Irrawadymeryx pondaungi;6.1;3.2;1;1;;"Métais, Grégoire, et al. ""Artiodactyls from the Pondaung Formation (Myanmar): new data and reevaluation of the South Asian Faunal Province during the Middle Eocene."" Naturwissenschaften 94 (2007): 759-768.";;;;
Ishatherium subathuensis;;;;;;;m2 found not m1;;;
Isphanatherium ferganensis;;;;;;"Lavrov, A. V., and A. O. Averianov. ""The oldest Asiatic Hyaenodontidae (Mammalia, Creodonta) from the early Eocene of the southern Fergana Basin (Andarak-2 locality)."" PALEONTOLOGICAL JOURNAL C/C OF PALEONTOLOGICHESKII ZHURNAL 32 (1998): 200-205.";M2 found not m1;;;
Jaegeria cambayensis;1.35;1.85;1;1;;"Smith, Thierry, et al. ""High bat (Chiroptera) diversity in the Early Eocene of India."" Naturwissenschaften 94 (2007): 1003-1009.";;;;
Jarveia minuscula;;;;;;;paper not available;;;
Jattadectes mamikheli;;;;;;"Thewissen, Johannes GM, E. M. Williams, and S. Taseer Hussain. ""Eocene mammal faunas from northern Indo-Pakistan."" Journal of Vertebrate Paleontology 21.2 (2001): 347-366.";m1 not found;;;
Jeholodens jenkinsi;;;;;;;paper not found;;;
Jhagirilophus chorgalensis;;;;;;;m1 not found;;;
Jiangxia chaotoensis;;;;;;;m2 and m3 found not m1;;;
Jozaria palustris;22.2;15.9;1;1;;"Wells, Neil Andrew, and Philip D. Gingerich. ""Review of Eocene Anthracobunidae (Mammalia, Proboscidea) with a new genus and species, Jozaria palustris, from the Kuldana Formation of Kohat (Pakistan)."" (1983).";;;;
Juramaia sinensis;;;;;to measure;"Luo, Zhe-Xi, et al. ""A Jurassic eutherian mammal and divergence of marsupials and placentals."" Nature 476.7361 (2011): 442-445.";measure from picture;;;
Kalakotia simplicidentata;;;;;;;paper not available;;;
Karagalax mamikhelensis;8.4;9.6;3;3;;"MAAS, MC, et al. ""A NEW ISECTOLOPHID TAPIROMORPH (PERISSODACTYLA, MAMMALIA)."" (2001).";;;;
Karakia longidens;;;;;;"Thewissen, Johannes GM, E. M. Williams, and S. Taseer Hussain. ""Eocene mammal faunas from northern Indo-Pakistan."" Journal of Vertebrate Paleontology 21.2 (2001): 347-366.";m1 missing;;;
Kazachostylops occidentalis;;;;;;;paper not available;;;
Kazygurtia clivosa;;;;;;;paper not available;;;
Kerosinia variabilis;;;;;;;paper not available;;;
Kharmerungulatum vanvaleni;;;;;;"Prasad, G. V. R., et al. ""A Cretaceous hoofed mammal from India."" Science 318.5852 (2007): 937-937.";not sure if its m1 or m2;uncertain;;
Kharodacetus sahnii;;;;;;;paper not found;;;
Khirtharia aurea;;;;;;"Thewissen, Johannes GM, E. M. Williams, and S. Taseer Hussain. ""Eocene mammal faunas from northern Indo-Pakistan."" Journal of Vertebrate Paleontology 21.2 (2001): 347-366.";M1 and m3 found not m1;;;
Khirtharia dayi;7.2;5.6;1;1;;"Thewissen, Johannes GM, E. M. Williams, and S. Taseer Hussain. ""Eocene mammal faunas from northern Indo-Pakistan."" Journal of Vertebrate Paleontology 21.2 (2001): 347-366.";;;;
Khirtharia inflatus;;;;;;;paper not found;;;
Khodzhentia vinogradovi;;;;;;"Averianov, Alexander. ""early eocene Rodentia of Kyrgyzstan."" Bulletin du Muséum national d’Histoire naturelle 18 (1996): 629-662.";not sure if its m1 ;uncertain;;
Kielanobaatar badaohaoensis;;;;;;"Kusuhashi, Nao, et al. ""New multituberculate mammals from the Lower Cretaceous (Shahai and Fuxin formations), northeastern China."" Journal of Vertebrate Paleontology 30.5 (2010): 1501-1514.";m1 not found;;;
Kiinkerishella zaisanica;;;;;;;paper not found;;;
Kilgai moolakharzani;;;;;;;paper not found;;;
Kohatius coppensi;;;;;;;paper not available;;;
Koreasaltipes jinjuensis;;;;;;;paper not available;;;
Krabia minuta;;;;;;"Chaimanee, Yaowalak, et al. ""A new Late Eocene primate from the Krabi Basin (Thailand) and the diversity of Palaeogene anthropoids in southeast Asia."" Proceedings of the Royal Society B: Biological Sciences 280.1771 (2013): 20132268.";M1 found not m1;;;
Krabimeryx primitivus;9.1;7.17;1;1;;"Métais, Grégoire, et al. ""New remains of primitive ruminants from Thailand: evidence of the early evolution of the Ruminantia in Asia."" Zoologica Scripta 30.4 (2001): 231-248.";;;;
Krabitherium waileki;;;;;;;paper not found;;;
Kryptobaatar mandahuensis;2.40;1.45;1;1;;"Smith, Thierry, D-Y. Guo, and Yan Sun. ""A new species of Kryptobaatar (Multituberculata): the first Late Cretaceous mammal from Inner Mongolia (PR China)."" (2001).";;;;
Kulbeckia kulbecke;1.87;2.86;8;8;;"Archibald, J. David, and Alexander O. Averianov. ""The Late Cretaceous placental mammal Kulbeckia."" Journal of Vertebrate Paleontology 23.2 (2003): 404-419.";;;;
Kutchicetus minimus;;;;;;;paper not found;;;
Kyawdawia lupina;;;;;;"Egi, Naoko, et al. ""Proviverrine hyaenodontids (Creodonta: Mammalia) from the Eocene of Myanmar and a phylogenetic analysis of the proviverrines from the Para?Tethys area."" Journal of Systematic Palaeontology 3.4 (2005): 337-358.";m2 and m3 found not m1;;;
Kyitchaungia takaii;;;;;;"Beard, K. Christopher, et al. ""New sivaladapid primates from the Eocene Pondaung Formation of Myanmar and the anthropoid status of Amphipithecidae."" Bulletin of Carnegie Museum of Natural History 2007.39 (2007): 67-76.";m2 found not m1;;;
Laomaki yunnanensis;2.45;3.9;1;1;;"Ni, Xijun, et al. ""Oligocene primates from China reveal divergence between African and Asian primate evolution."" Science 352.6286 (2016): 673-677.";;;;
Lestes feiganensis;;;;;;;paper not available;;;
Liaoconodon hui;;;;;;;paper not found;;;
Liaotherium gracile;;;;;;"Mingzhen, Zhou, Cheng Zhengwu, and Wang Yuanqing. ""A mammalian lower jaw from the Jurassic of Lingyuan, Liaoning."" Vertebrata PalAsiatica 29.03 (1991): 165.";m1 not found;;;
Lignitella suemengeni;;;;;;;paper not available;;;
Lindsaya derabugtiensis;;;;;;;paper not accessible;;;
Linnania lofoensis;;;;;;;paper not available;;;
Linnania progressus;;;;;;;paper not available;;;
Litolophus ghazijensis;;;;;;"Missiaen, Pieter, and Philip D. Gingerich. ""New early Eocene tapiromorph perissodactyls from the Ghazij Formation of Pakistan, with implications for mammalian biochronology in Asia."" Acta Palaeontologica Polonica 57.1 (2012): 21-34.";m3 found not m1;;;
Lofochaius brachyodus;;;;;;;paper not available;;;
Lophibaluchia pilbeami;;;;;;;paper not accessible;;;
Lophiohippus yunnanensis;;;;;;;paper not available;;;
Lophiomeryx benarensis;;;;;;;specimen not found;;;
Lophiomeryx kargilensis;;;;;;;paper not available;;;
Machocyon abbasi;14.2;20.3;1;1;;"Gingerich, Philip D., et al. ""Machocyon abbasi, a new early Eocene quettacynoid (Mammalia, Condylarthra) from the middle Ghazij Formation of Mach and Daghari coal fields, Baluchistan (Pakistan)."" (1999).";;;;
Macrotherium turgaicum;;;;;;;specimen not found;;;
Magwetherium burmense;;;;;;"Ducrocq, Stéphane, et al. ""First record of a diacodexeid artiodactyl in the middle Eocene Pondaung Formation (Myanmar)."" PalZ 90.3 (2016): 611-618.";M1 found not m1;;;
Maiacetus inuus;22.35;9.74;1;1;;"Gingerich, Philip D., et al. ""New protocetid whale from the middle Eocene of Pakistan: birth on land, precocial development, and sexual dimorphism."" PLoS one 4.2 (2009): e4366.";;;;
Maiopatagium furculiferum;;;;;;"Meng, Qing-Jin, et al. ""New gliding mammaliaforms from the Jurassic."" Nature 548.7667 (2017): 291-296.";M1 found not m1;;;
Makaracetus bidens;;;;;;"Gingerich, Philip D. ""Makaracetus bidens, a new protocetid archaeocete (Mammalia, Cetacea) from the early middle Eocene of Balochistan (Pakistan)."" Contributions from the Museum of paleontology of the University of Michigan 31.9 (2005): 197.";lower molars not found;;;
Maobrontops paganus;;;;;;"Averianov, Alexander, et al. ""A new brontothere from the Eocene of South China."" Acta Palaeontologica Polonica 63.1 (2018).";M1 and M2 found not m1;;;
Maofelis cantonensis;;;;;;"Averianov, Alexander, et al. ""First nimravid skull from Asia."" Scientific Reports 6.1 (2016): 25812.";upper molars found not lower;;;
Maotherium asiaticus;;;;;;"Ji, Qiang, et al. ""Evolutionary development of the middle ear in Mesozoic therian mammals."" Science 326.5950 (2009): 278-281.";m1 not found;;;
Maotherium sinensis;1.5;1.3;1;1;;"Rougier, Guillermo W., Ji Qiang, and Michael J. Novacek. ""A new symmetrodont mammal with fur impressions from the Mesozoic of China."" Acta Geologica Sinica?English Edition 77.1 (2003): 7-14.";;;;
Marcgodinotius indicus;2.02;2.55;8;8;;"Rose, Kenneth D., et al. ""Early eocene primates from Gujarat, India."" Journal of Human Evolution 56.4 (2009): 366-404.";;;;
Masracetus markgrafi;;;;;;;paper not found;;;
Masrasector ligabuei;;;;;;;specimen not found;;;
Matanomictis maniyarensis;11.0;4.9;1;1;;"Thewissen, J. G. M., and Sunil Bajpai. ""New Oligocene mustelid from western India."" Journal of Vertebrate Paleontology 28.2 (2008): 565-567.";;;;
Megaconus mammaliaformis;;;;;to measure;"Zhou, Chang-Fu, et al. ""A Jurassic mammaliaform and the earliest mammalian evolutionary adaptations."" Nature 500.7461 (2013): 163-167.";measure from picture;;;
Megalohyrax eocaenus;;;;;;;paper not found;;;
Meiconodon lii;2.27;NA;1;1;;"Kusuhashi, Nao, et al. ""New triconodontids (Mammalia) from the Lower Cretaceous Shahai and Fuxin formations, northeastern China."" Geobios 42.6 (2009): 765-781.";;;;
Meiconodon setoguchii;;;;;;"Kusuhashi, Nao, et al. ""New triconodontids (Mammalia) from the Lower Cretaceous Shahai and Fuxin formations, northeastern China."" Geobios 42.6 (2009): 765-781.";m1 measurement not available;;;
Meiostylodon zaoshiensis;;;;;;;paper not available;;;
Meldimys musak;2.25;3.6;2;2;;"Rana, Rajendra S., et al. ""An ailuravine rodent from the lower Eocene Cambay Formation at Vastan, western India, and its palaeobiogeographic implications."" Acta Palaeontologica Polonica 53.1 (2008): 1-14.";;;;
Meridiolophus expansus;7.4;5.6;1;1;;"Bai, Bin, et al. ""New Early Eocene basal tapiromorph from Southern China and Its phylogenetic implications."" PLoS One 9.10 (2014): e110806.";;;;
Meschotherium meschethicum;;;;;;;paper not found;;;
Metaphiomys schaubi;;;;;;;paper not found;;;
Metasarcodon udovichenkoi;;;;;;"Lopatin, A. V. ""Early Paleogene insectivore mammals of Asia and establishment of the major groups of Insectivora."" Paleontological Journal 40 (2006): S205-S405.";M1 found not m1;;;
Metasqualodon symmetricus;;;;;;"Okazaki, Yoshihiko. ""A Lower Miocene squalodontid from the Ashiya Group, Kyushu, Japan."" Bulletin of the Kitakyushu museum of natural history 4 (1982): 107-112.";M1 found not m1;;;
Meteamys alpani;24.29;15.81;8;10;;"De Bruijn, Hans, et al. ""A new association of small mammals from the lowermost Lower Miocene of Central Anatolia."" Geobios 25.5 (1992): 651-670.";;;;
Microbunodon silistrense;;;;;;;paper not found;;;
Microcetus sharkovi;;;;;;;paper not available;;;
Microchiropteryx folieae;1.20;1.10;1;1;;"Smith, Thierry, et al. ""High bat (Chiroptera) diversity in the Early Eocene of India."" Naturwissenschaften 94 (2007): 1003-1009.";;;;
Microparamys lingchaensis;;;;;;;paper not available;;;
Minchenella grandis;;;;;;;paper not available;;;
Mirocetus riabinini;;;;;;;paper not available;;;
Monobaatar mimicus;;;;;;"Kielan-Jaworska, Z., D. Dashzeveg, and B. A. Trofimov. ""Early Cretaceous multituberculates from Mongolia and a comparison with Late Jurassic forms."" Acta Palaeontologica Polonica 32.1-2 (1987).";m1 not found;;;
